,书名,豆瓣链接,评分,评分人数,作者国籍,作者,出版社,原作名,译者,出版日期,页数,价格,装帧,丛书,ISBN,内容简介,作者简介
0,青鸟,https://book.douban.com/subject/1030469/,8.2,6820,比,莫里斯·梅特林克 / 乔治特·莱勃伦克 改编,哈尔滨出版社, ,肖俊风,2003-7,186,13.80,平装,人文经典,9787806397169,《青鸟》是梅特林克的最著名的代表作。原作是直到今天仍在舞台上演出的六幕梦幻剧，后经梅特林克同意，他的妻子乔治特·莱勃伦克将剧本改写成童话故事，以便更适合小读者阅读。改编成的中篇童话《青鸟》在1908年发表。 故事讲述两个伐木工人的孩子，代表人类寻找青鸟的过程。青鸟在这里是幸福的象征。通过他们一路上的经历，象征性地再现了迄今为止，人类为了寻找幸福所经历过的全部苦难。作品中提出了一个对人类具有永恒意义的问题：什么是幸福？但是作品所得出的结论却是出乎意料的：其实幸福并不那么难找，幸福就在我们身边。,"莫里斯·梅特林克（Maurice Materlinck, 1862-1949）1862年8月29日出生在比利时根特。他从小就爱好文学，可是他的父亲希望他成为一个律师。1887年，他来到巴黎上学，开始对写作发生兴趣。不久他父亲去世，于是他又回到比利时，以后就很少离开他的祖国。1889年，他正式从事写作。开始的时候，并不为人们注意，可是由于他那丰富的想象和惊人的创伤能力，不久便被誉为比利时的莎士比亚。1911年梅特林克获得诺贝尔文学奖。他的作品除了《青鸟》以外，还有《盲人》、《佩利亚斯与梅丽桑德》、《蒙娜·凡娜》和《圣安东的奇迹》等二十余种。"
1,诗经,https://book.douban.com/subject/1883245/,9.5,27822, ,孔丘,北京出版社, , ,2006-7,363,19.90,平装,家庭书架·传世经典读库,9787200065039,这本《诗经》收录全部305篇，每篇诗歌都配有相应的解释及译文，使读者更容易理解。,
2,万历十五年（增订本）,https://book.douban.com/subject/1981042/,9.1,24553,美国,黄仁宇,中华书局, , ,2007-1,286,18.00,平装, ,9787101054491,《万历十五年》是一部改变中国人阅读方式的经典，是美籍华裔历史学家黄仁宇的成名之作，也是他的代表作之一。这部作品融会作者数十年人生经验与治学体会于一体，首次以“大历史观”分析明代社会之症结，观察现代中国之来路，发人深思。 《万历十五年》英文本被美国多所大学采用为教科书，并两次获得美国书卷奖历史类好书的提名；中文本问世后，好评如潮，成为众多作家、学者、企业家、高校师生的案头书，并入选《新周刊》和《书城》“改革开放20年来对中国影响最大的20本书”。另有日文、法文、德文、韩文等版本。 万历十五年，亦即公元1587年，在西欧历史上为西班牙舰队全部出动征英的前一年；而在中国，这平平淡淡的一年中，发生了若干为历史学家所易于忽视的事件。这些事件，表面看来虽似末端小节，但实质上却是以前发生大事的症结，也是将在以后掀起波澜的机缘。在历史学家黄仁宇的眼中，其间的关系因果，恰为历史的重点，而我们的大历史之旅，也自此开始……,黄仁宇（1918-2000），湖南长沙人，美籍历史学家。早年辗转于求学、从军之途，曾梦想成为中国的拿破仑，然而时代却不允许他有这样的机缘。其后赴美研习历史，于一番逼仄煎熬之中提出大历史观，主张要“从技术人上的角度看历史”，而不能简单地以道德评价笼罩一切。 代表作有《十六世纪时代中国之财政与税收》、《万历十五年》、《中国大历史》等。他传奇性的一生以及大历史观的由来见于自传《黄河青山——黄仁宇回忆录》。
3,梦回大清,https://book.douban.com/subject/1468493/,7.5,18915, ,金子,朝华出版社, , ,2006-1,295,25.00,平装16开,梦回大清,9787505414693,一个生活在21世纪的女孩子，故宫里的一次迷路，竟穿越时空回到了清朝，并身不由己地进入危机四伏的皇宫内院。热情如火的十三阿哥、深沉内敛的四阿哥、命运多舛的小姐妹、威严的康熙皇帝，无数在史书中读过人物，带着各自的喜怒哀乐，纷至沓来…… 作者以充满京味的语言，在看似平淡的开篇中，一步步打开小说情节，一个个人物也次第而出，让读者伴着清新幽默的语句慢慢置身其中，在恢宏、曲折、精彩绝伦的情节中手不释卷、如醉如痴。《梦回大清》在晋江原创网首发连载，以三百万以上的点击率和1500万分跻身积分排行榜前列，数百网站自发转载推荐，好评如潮，被誉为“越看越好看的故事”。,金子，一个爱做梦的女孩子，貌不出众，技不压人，唯求一生平顺喜乐足矣。
4,列侬回忆,https://book.douban.com/subject/1868786/,8.0,2825,美,扬·温纳,广西师范大学出版社,Lennon Remembers,马世芳,2011-3,316,39.00,平装,阅读亚文化,9787563361182,有史以来最成功的艺人之一——约翰·列侬的“独立宣言”，1970年《滚石》RollingStone完整收录专访录，首度出版。该书堪称约翰·列侬与The Beatles及“旧时代”的决裂之作。 每个人都有自己心目中的约翰·列侬，但只有这本书中的列侬如此愤怒、凶悍。他向一切他认为虚假的东西发起了猛攻。在这些进攻中，当然免不了抖搂些摇滚乐背后的秘闻。而真正要命和有趣的是，列侬把Beatles判定为艺术冒牌货——“我们无非是一个把事搞得很大很大的乐队……仅此而已”；“我的技术不怎么样”；“我弹得很烂”；“我也不喜欢多数Beatles的歌”；在英国各地巡演之前“我们的音乐就已经死了”；“我们杀死自己，换取后来的成功”；“Beatles是世界上最大的大混蛋”：对由Beatles和摇滚乐带来的革命，他的结论是“梦已经做完了，一切都还是老样子，只不过如今我已经30岁，而一大堆人留了长头发，如此而己”……,"约翰·列侬（John Lennon, 1940-1980），20世纪最伟大的摇滚歌手及文化人物之一，The Beatles（披头士）乐队的主唱及灵魂人物。他也是20世纪六七十年代欧美文化的象征。纵观他一生的创作，无论是从Beatles时期的简单明快到深刻多变，还是单飞后的激扬奋进与随意淡然，都显示出了杰出的音乐天分与创作才华。 列侬对和平的热爱与对保守势力的嘲讽，更使他成为了最受人们敬仰的公众文化人物之一。1980年12月8日，列侬倒在一位狂热歌迷的枪下，去世前甚至没有机会留下任何遗言。他在摇滚音乐史上的地位，至今没有任何人可以超越。 扬·温纳（J. S. Wenner，1946- ），21岁创办《滚石》（Rolling Stone）杂志，以深刻独到的摇滚书写为编辑核心，极大地推动了世界摇滚乐文化的发展，他本人也成为了20世纪六七十年的文化英雄，同时开创了一个属于《滚石》的时代，现居纽约。"
5,天涯·明月·刀,https://book.douban.com/subject/1480630/,7.9,8348, ,古龙,珠海出版社, , ,2005-8,508,22.00,平装,古龙作品集,9787806894125,《天涯·明月·刀》的故事是古龙另一作品《边城浪子》的外传，书中的主角傅红雪已是中年人。故事讲述了一个在江湖中占有着巨大财富和无上权威的名侠，同时也是武林之首的公子羽，以名利财富诱惑天下第一剑燕南飞做自己的替身，并派遣他和手下明月心前去刺杀傅红雪。傅红雪两次战胜燕南飞却没有杀死他。公子羽还制造出关于天下第一暗器孔雀翎的传说，江湖人士受诱惑为争夺这件武器而纷纷丧生。他派自己的手下卓玉贞当了孔雀翎主人秋水清的情妇，继而血洗孔雀山庄。不明真相的秋水清临死前将卓玉贞托付给傅红雪，但傅红雪从卓玉贞的行径中认识到她的真相。他怀着坚忍不拔的毅力，杀死公子羽派来的一个个杀手，最后来到公子羽的住处，在决斗中杀死了替代公子羽出战的燕南飞。他拒绝学燕南飞一样担任公子羽替身，离开那些诱人的财富，回到一个真心爱他的女人身边。而公子羽也意识到继续下去是不行的，便放弃了名利，退隐江湖。,古龙（1937-1985），本名熊耀华，原籍江西。古龙毕业于台湾淡江大学外文系，是台湾著名新派武侠小说作家。他从1960年创作《苍穹神剑》始，一生共写了近70部武侠小说，影响巨大。其代表作有《风云第一刀》、《绝代双骄》、《楚留香传奇》系列、《陆小风传奇》系列、《萧十一郎》、《七种武器》系列、《白玉老虎》、《流星·蝴蝶·剑》等。
6,追风筝的人,https://book.douban.com/subject/2154079/,8.8,7588,美,卡勒德·胡赛尼,上海人民出版社,The Kite Runner,李继宏,2007-7,381,48.00,精装, ,9787208068216,12岁的阿富汗富家少爷阿米尔与仆人哈桑情同手足。然而，在一场风筝比赛后，发生了一件悲惨不堪的事，阿米尔为自己的懦弱感到自责和痛苦，逼走了哈桑，不久，自己也跟随父亲逃往美国。 成年后的阿米尔始终无法原谅自己当年对哈桑的背叛。为了赎罪，阿米尔再度踏上暌违二十多年的故乡，希望能为不幸的好友尽最后一点心力，却发现一个惊天谎言，儿时的噩梦再度重演，阿米尔该如何抉择？,卡勒德·胡赛尼（Khaled Hosseini），1965年生于喀布尔，后随父亲逃往美国。胡塞尼毕业于加州大学圣地亚哥医学系，现居加州执业，并因其巨大的国际影响力，受邀担任联合国亲善大使。他的第一本小说《追风筝的人》问世后大获成功，因书中角色刻画生动，故事情节震撼感人，蝉联亚马逊排行榜131周之久，全球热销600万册，创下出版奇迹。
7,像一块滚石,https://book.douban.com/subject/1448761/,8.3,2961,美,鲍勃·迪伦,江苏人民出版社, ,徐振锋,2006-1,283,25.00,平装,经典与先锋音乐,9787214041982,鲍勃·迪伦历时三年在手动打字机上敲出来的回忆录，记录的不仅是作者发明创造和灵感进发的辉煌时刻，还有那些意气消沉的时刻，曾经想退却，不想努力乃至失败，但它们如何仍有可取之处。迪伦对此毫不讳言，没有人期待他会如此开诚布公。他袒露这些瞬间，正视它们，把握它们，然后超越它们。这是了不起的成就，像亨利·米勒最隐私的作品一样，这也是一部开创时代——书中所描述的时代——的作品，揭示人类精神的种种可能。它们并不都是轻而易举的可能。终究，它只是生命，从来没有像这样被书写过的生命。 20世纪最伟大的摇滚音乐家，美国文化的符号——鲍勃·迪伦，不仅称得上是20世纪最伟大的摇滚音乐家，更是一位杰出的诗人，一位语言大师（他是惟一一位获诺贝尔文学奖提名的音乐家）。这本鲍勃·迪伦历时三年在手动打字机上敲出来的回忆录，最终证明其作者是一位杰出的散文大师，一位引人注目的文化观察家，和一位化装成荡秋千演员的诗人。这本书揭开了这位大众文化偶像的神秘面纱，展现一代才子尽情释放生命的风采。被评选为《纽约时报》等全球数十家著名媒体2003年年度最佳图书。,鲍勃·迪伦，20世纪的摇滚教父，跨时代的文化偶像。1941年出生于美国明尼苏达州的希宾，20多年以后，成了60年代世界反主流文化的主将。“传奇、偶像、谜…… 这类称号或者诚心实意，或者无关痛痒，或者老生常谈，拈来用之，还算轻易。但先知、基督、救星等等头衔，就不是闹着玩的了。”鲍勃•迪伦却也确实称得起所有这些头衔，他是先知，是基督，是救星。他孕育了年轻一代的梦想、反抗和希望。他有力地呐喊对旧世界的否决。他赋予他那个时代某种自由的理念。他所塑造的新神话至今仍影响着我们。鲍勃•迪伦，既是享乐又是清醒，既是流行音乐又是哲学，既标新立异又寻根守底。是的，正是他，凭借着几首歌，创造了二十世纪的六十年代。《像一块滚石》、《答案在风中飘荡》、《手鼓先生》、《政治世界》、《重访61号公路》等作品，不仅确立了迪伦在摇滚音乐史的教父级地位，也奠定了他作为20世纪伟大诗人的身份。
8,卖海豚的女孩,https://book.douban.com/subject/1062235/,7.5,5306, ,张小娴,南海出版公司, , ,2001-4,216,15.00,平装,张小娴作品集,9787544217668,相同ISBN的还有张小娴作品《恋爱秘技偷偷报》《纯情游戏爱不离散》《候选叛爱情人》《空白爱情登机证》《收发爱情频道》《寻找绝艳天使》等，均由南海出版公司出版。,张小娴，香港女作家。1995年推出第一部长篇小说《面包树上的女人》而走红文坛，继亦舒之后，成为香港最受欢迎的言情小说家。她的作品善于描写都市的男欢女爱，深受年轻读者的欢迎，往往新作一出版就会登上畅销榜。
9,橘子酱男孩,https://book.douban.com/subject/1855531/,7.5,5555, ,吉住涉,集英社, , ,1992, ,JPY 4.10,平装, ,9789572537497,小石川光希(Koishikawa Miki)是個活潑開朗又可愛的高2女生，過著平凡單純的生活。然而某天爸媽卻突然告訴她－「我們要離婚了！」原因是他們同時和另一對夫妻談戀愛了，更離譜的是，兩家竟然要同住一個屋簷下！天啊！事情真是越變越複雜了… 另一對夫妻有個和光希同年齡的兒子－遊，是個又酷又帥、智商200再加上運動萬能的超完美男孩。他的出現讓光希原本平靜的生活，起了很大的變化：光希先是被同學銀太強吻、又被遊的前女友亞梨實搞得哭笑不得…更令人震驚的是，光希竟然喜歡上遊了！啊～怎麼會這樣！？,吉住涉 WATARU YOSHIZUMI 性别：女 生日：6月18日 职业：漫画家 星座：双子座 血型：A 出生地：日本东京都 最满意的作品：果酱少年（台名：橘子酱男孩） 出道：1984年在《RIBON ORIGINAL》初夏号发表《过激的浪漫》 毕业于一桥大学。出道以来一直在月刊《RIBON》上发表作品。作品以爱情题材为主，画风甜美。 和小花美穗同是集英社下一少女杂志的顶梁柱作家。其作品清新自然，人物形象可爱，颇受女生们的欢迎。 作品: 《过激的浪漫》 短篇 《和天使冒险》 短篇 《Green age》 短篇 《游戏四重奏》 全1册 《帅气女朋友》 全9册（又名：《银海佳人》） 《橘子酱男孩》 全8册（有动画版）（又名：《果酱少年》） 《只爱你一人》 全2册 《薄荷关系》 全6册 《一起散散步》 全3册 《魔法留学生》 全5册（有动画版） 《因为喜欢你》 全3册（又名：《就是喜欢啊》） 《BABY IT'S YOU》 短篇 《PxP》 短篇 《cherish》 全3话 《スパイシーピンク》 未完
