,书名,豆瓣链接,评分,评分人数,作者国籍,作者,出版社,原作名,译者,出版日期,页数,价格,装帧,丛书,ISBN,内容简介,作者简介
0,名侦探柯南42,https://book.douban.com/subject/1138986/,8.7,11601, ,青山刚昌,长春出版社, ,natuya,2003-10,194,9.00,平装,名侦探柯南单行本,9787806646083,《名侦探柯南》 《名侦探柯南》日本国宝级漫画家青山刚昌作品，连载于周刊少年Sunday（周刊少年サンデー），日本小学馆发行的综合性少年漫画杂志。 高中生侦探工藤新一，被称为“日本警察的救世主”、“平成年代的福尔摩斯”、“关东的名侦探”。一次在与青梅竹马的同学毛利兰去游乐园游玩时，发现两个行动诡异的黑衣人。工藤新一跟踪他们直到交易现场，另一个黑衣人琴酒趁其不注意从后面将他一棒击倒，并灌下一种名为APTX-4869的神秘毒药企图杀他灭口，但因为副作用他的身体竟回到发育期的孩童状态。考虑到要是黑衣人知道他还活着，必将使周围的亲朋好友受到牵连，于是工藤新一化名为“江户川柯南”寄住在毛利兰的家中，想借助其父亲毛利小五郎来找寻黑衣人。不料小五郎不但对其没有帮助，还是个冒失的迷糊侦探。所以发生案件后，柯南就用阿笠博士发明的手表型麻醉枪让小五郎睡着，接着用蝴蝶结型变声器模仿他的声音来进行推理，解决了许多连警方都束手无策的案件。同时也结交了许多同伴，也一直寻找着黑衣组织的人的下落，希望有朝一日将其绳之以法，并变回原来的样子……,
1,傾城,https://book.douban.com/subject/1382836/,8.7,3916, ,三毛,皇冠文化出版有限公司, , ,1985/03/01,256,170 TWD, ,三毛全集,9789573305866,張愛玲的傾城之戀發生在香港，三毛的傾城之戀在東柏林。 『那時的我，是一個美麗的女人， 我知道，我笑，便如春花， 必能感動人的，任他是誰。』 穿越時空，我們分享三毛生命中一段 即美麗淒楚又彷若前世記憶的情愁。,台灣的著名作家──三毛 1943年3月26日出生於重慶，浙江省定海縣人。本名為陳懋平，1946年改名陳平。 筆名『三毛』更不知出自何處，只在她的《鬧學記》一篇序文中提及『三毛』二字暗藏一個《易經》的卦象，至於這卦象究竟隱藏何種玄機，序文中並沒有進一步的交代。 三毛的母親繆進蘭曾在〈我的女兒，大家的三毛〉這篇文章中，提及四個兄弟姊妹裡，次女三毛的性格最為特行卓立、不依常規，以及不能忍受虛假，因此父母要在她身邊看守著每一腳步是否踏穩。 另外，有讀者認為『流浪』才是三毛真正的名字，無論是她的遺作、她的遊歷和她心靈情感的轉折，始終透著一點點浪跡天涯的意味。 1973年7月，三毛與荷西在沙漠小鎮阿尤恩結婚。與荷西一道生活的歲月，三毛的文章充滿歡笑、喜樂，讀者閱讀他的小說，彷彿感受著她愉悅的婚姻生活，即使面對大風沙的侵襲，她仍顯得積極與樂觀。然而自荷西離開人世後，三毛的文章也頓時『黑暗』了起來，其文字不再有笑容，代替的只是無盡的悲傷。 1990年，三毛創作的電影劇本《滾滾紅塵》榮獲金馬獎八項大獎。其生平重要著作有《撒哈拉的故事》、《雨季不再來》、《哭泣的駱駝》、《我的寶貝》、《鬧學記》……等散文小說集，譯有《娃娃看天下》、《蘭嶼之歌》，以及創作電影劇本《滾滾紅塵》、《親愛的三毛》、《我的快樂天堂》、《高原的百合花》。 然而令人惋惜的是，1991年1月4日凌晨，三毛在醫院自縊身亡，享年四十八歲。
2,袁氏当国,https://book.douban.com/subject/1000280/,8.5,7923, ,唐德刚,广西师范大学出版社, , ,2004-11,209,17.00,平装,唐德刚作品集,9787563350032,《袁氏当国》讲述了袁世凯如何在晚清政府和国民革命军政府之间养敌自重以觊觎总统宝座，宋教仁刺杀案的历史谜团到底暗示了什么真实背景，孙中山的个性对他改造国民党以谋求革命有何影响，袁氏当国时期的内政外交如何复杂多变，筹安会“六君子”与袁氏政府之间的关系到底如何，不该遗忘的古德诺教授的政治理念是什么?作者唐德刚先生凭借其一贯的学者气节，不依风附草，不人云亦云，坚持论从史出，坚持言必有据 上自孙文缔造共和肇始，下逮蔡锷护国运动兴起，寥寥数年，此乃袁世凯当国之年，国可谓不兴，民可谓不幸。《袁氏当国》记载了从武昌起义到袁世凯病死的几年中，中国从一个帝制时代，到“民治时代”的纷乱无比的景象。在我们所受的历史教育中，这段时间除了孙中山先生的所作所为外，其他的是最混乱、最黑暗的，而对窃国大盗袁世凯，我们更是咬牙切齿，但《袁氏当国》就力图改变这个形象，为读者重新烹调了一份具有独特口味的历史文化大餐。,唐德刚 1920年出生，安徽合肥人。美国哥伦比亚大学硕土、博士毕业。长期从事历史研究与教学工作，并对口述历史的发展有很大贡献。著有《李宗仁口忆录》《顾维钧回忆录》《胡适口述自传》《胡适杂忆》《晚渭六十年》等，另有包括历史、政论、小说、诗歌、杂文等多部作品。
3,盗墓笔记4,https://book.douban.com/subject/3266344/,8.4,36954, ,南派三叔,中国友谊出版公司, , ,2008-11,314,32.80,平装,盗墓笔记,9787505724778,从云顶天宫顺利脱出之后，吴邪和苏醒后的三叔进行了一次长谈。吴邪了解到在二十年前海底古墓里发生的三叔没有透露的隐情。关于解连环的神秘死亡以及背后牵涉到战国帛书和老长沙的恩怨，也理出了端倪。就在吴邪认为事情接近真相的时候，两盘来自张起灵的录像带，又让事情重新进入了重重迷雾之中…… 寻着录像带中支离破碎的线索，吴邪只身一人来到了陌生的青海…… 顺着前人留下的线索，吴邪发现了考古队最后的去向。为了了解事情的真相，吴邪混入了阿宁前往柴达木盐沼的探险队，同时三叔的队伍也神秘地从敦煌出发，两只队伍似乎有着相同的目标…… 这是一个谜一样故事，戈壁大雨中才会出现的古老鬼城到底是谁的城池？海底墓穴中诡异的古尸是不是汪藏海？战国帛书上毫无意义的天数和鬼图到底有着什么含义？废弃疗养院地下室里来历不明的巨大石棺里装的是谁？录像带中诡异的行为有着什么不为人知的含义？西沙考古队那从来没有人提起的第十一人到底是谁？,南派三叔（1982年2月20日— ），本名徐磊，男，浙江人，现居杭州。超级畅销书作家。他的《盗墓笔记》系列与另一位作家的《鬼吹灯》系列共同开启了中国小说界的“盗墓时代”。
4,漂亮朋友,https://book.douban.com/subject/1152701/,7.8,9185,法国,居伊·德·莫泊桑 Guy de Maupassant,长江文艺出版社,Bel-Ami,王巧玲 / 杨海燕,2007-6,341,16.00,平装,世界文学名著典藏,9787535427533,《漂亮朋友》是莫泊桑一生仅有的6部长篇小说中思想和艺术成就最高的一部。小说通过对一个寡廉鲜耻的恶棍杜洛华短时期内飞黄腾达的经历的描写，揭露了法兰西第三共和国新闻界的黑幕，深刻揭示了法兰西第三共和国的政治、经济复杂现象和殖民主义战争政策，堪称19世纪末叶法国社会的一幅历史画卷。,莫泊桑（Guy de Maupassant），生于法国诺曼底一个没落的贵族家庭，童年在诺曼底乡村度过，青少年时期在鲁昂中学就读，1869年到巴黎学习法律。1870年普法战争爆发后，莫泊桑应征入伍。战争结束后，他回到巴黎，先后就职于海军部和教育部，业余开始从事文学创作，并得益于文学大师福楼拜的教诲。经过苦心锤炼，莫泊桑的文学创作技巧日趋成熟。1880年，莫泊桑因《羊脂球》而一举成名，此后，他辞去公职，笔耕不辍。但私生活上的随意导致了他身体上的疾病，加上精神疾病的困扰，最终使他病魔缠身。莫泊桑曾于1892年自杀未遂，翌年在巴黎去世。莫泊桑的创作生涯虽然短暂，然而作品颇丰。在短短的十余年间，他共完成了三百多篇短篇小说，被誉为“短篇小说之王”。此外他还创作了《一生》、《俊友》等6部长篇小说。莫泊桑的写作素材来源于生活，他对日常生活和周围事物的观察和体验细致而独特。莫泊桑的小说题材丰富，描绘了一幅幅生动的法国社会生活画卷，既有乡村故事，也有市井生活。在他的作品里，贵族、官僚、商贾、公务员、工人、农民，甚至流浪汉、乞丐、娼妓等各种人物形象无不栩栩如生跃然纸上。跟随着作家或嘲讽或同情、或冷峻或热忱、或诙谐或凝重的笔触，我们不仅可以欣尝人生百态、认识世间万象，更会产生深刻的思考。莫泊桑的语言风格简洁而优美，生动而形象，清晰而犀利。
5,朗读者,https://book.douban.com/subject/3537590/,8.3,21086,德国,本哈德·施林克,译林出版社, ,钱定平,2009-2,197,22.00,平装, ,9787544707923,战后的德国萧条破败，一个15岁的少年在电车上病倒了，他独自下车，行走在滂沱大雨中，最后在一个逼仄的过道里吐得一塌糊涂，一个36岁的陌生女人帮助了他…… 3个月后，少年伯格从突如其来的猩红热侵袭中恢复过来，他只是为了去感谢那个曾经在他生病时给予过他帮助的女人，但是，情欲，或者是爱情，在15岁的少年伯格心中渐渐燃烧起来。 电车售票员汉娜总是让伯格为她朗读，《荷马史诗》、《带小狗的女人》、《战争与和平》，在伯格的朗读中，汉娜像个孩子似的时而痛哭，时而大笑，那个夏天，是他们一生中最短暂最快乐并最终影响了后来岁月的时光……,本哈德·施林克，1944年生。在海德堡及柏林学习法律。1992年起任柏林洪堡大学法学教授，并兼任北莱-威州宪法法官。又是作家，曾出版小说多种，其中以《朗读者》最为著名，是首本登上《纽约时报》畅销排行冠军的德国小说。
6,我怎样毁了我的一生,https://book.douban.com/subject/5366275/,8.4,13251,法,贝尔当·桑帝尼 文 / [法,生活·读书·新知三联书店,Comment j'ai raté ma vie,武娟,2011-1,37,29.80,精装,三联绘本馆,9787108035226,一个男人言简意赅描写了自己的人生，长大之前他英俊、应有尽有、从不寂寞，堪称上帝的宠儿，长大之后他丑陋、贫穷、虚伪，过着谎话连篇和庸俗不堪的生活，他是怎样毁了自己的一生呢？ 成功和失败、幸福和悲哀，一段有如过山车般的人生。 成功的标准是什么？怎样的人生又应该被定义为“失败”呢？ 一则简练而深刻的人生寓言。,贝尔当•桑帝尼 是动画片导演，曾导演《飞天宝贝》，这是他的第一本绘本作品。 贝尔当•哥地尼 擅长于动画制作和绘图。这是他作为绘者的第三本作品。
7,碧奴,https://book.douban.com/subject/1857446/,6.6,4766, ,苏童,重庆出版社, , ,2006-9,220,25.00,平装16开,重述神话,9787536672956,在古老的中国传说中，孟姜女是一位对爱情忠贞不渝、徒步千里为丈夫送寒衣的奇女子。当时，皇帝为了阻止外敌入侵，抓走了所有青壮年去修建长城。孟姜女想到北方冬天寒冷，便立志要为丈夫送去冬衣御寒。在得知丈夫已经埋骨于长城之下而自己未能见上最后一面时，她放声大哭，以至于天地变色、长城为之而崩塌。 在《碧奴》中，苏童带我们回到了遥远的古代，以其丰富的想象力为我们重现了一幕幕令人目眩神迷而又精心动魄的精彩场景——为了生存而练就九种哭法、送寒衣前为自己举行葬礼、装女巫吓走顽童、被当作刺客示众街头、众青蛙共赴长城……小说中，碧奴的坚韧与忠贞击退了世俗的阴谋、人性的丑恶，这个在权势压迫下的底层女子以自己的痴情、善良在沧桑乱世中创造了一个神话般的传奇。,苏童，男，1963年生。1980年考入北京师范大学中文系。1983年开始发表小说，出版了中短篇小说集《妻妾成群》、《伤心的舞蹈》、《妇女乐园》、《红粉》等，长篇小说《米》《我的帝王生涯》、《武则天》、《城北地带》等。小说《米》《红粉》先后被搬上银幕，《妻妾成群》被张艺谋改编成《大红灯笼高高挂》获得威尼斯电影节大奖，《妇女生活》改编为电影《茉莉花开》后，获得了上海国际电影节金奖。现任江苏作协副主席，为中国当代文学先锋代表作家之一，多部作品翻译成英、法、德、意等各种文字。
8,达摩流浪者,https://book.douban.com/subject/3151990/,8.5,8073,美国,杰克·凯鲁亚克,上海译文出版社,The Dharma Bums,梁永安,2008-7,267,26.00,平装,杰克·凯鲁亚克作品,9787532744862,这是一本关于背包革命、自然精神、生命思索以及禅之道的小说，讲述的是1955年两个热情洋溢的青年贾菲与雷蒙追求真理以及禅理的故事。他们以其特殊的世界观追寻着生命的直觉、纯净与唯美，马拉松式的狂欢与旧金山的纵情“雅雍”无疑是自由的最佳注解，而诗人的情怀与托钵僧的苦旅，历经马特峰与孤凉峰的超拔洗涤，让尘世显得如此澄透。《在路上》出版之后的一年，凯鲁亚克将《达摩流浪者》献给了寒山子，并于美国西海岸勾勒出禅疯子与登山背包行者的朝圣路线，也为“垮掉的一代”确立了的文学版图，平添些许东方色彩。 《达摩流浪者》是凯鲁亚克最精彩的自传体小说。书中宣扬的自由上路、追求理想与爱的理念影响了六十年代整整一代的西方青年，并为六十年代追求独立、反叛和自由的思想打下了深厚的基础。,杰克·凯鲁亚克（Jack Kerouac，1922-1969），一九二二年三月十二日，凯鲁亚克出生于马萨诸塞州洛厄尔，父母为法裔美国人，他是家中幼子。他曾在当地天主教和公立学校就读，以橄榄球奖学金入纽约哥伦比亚大学，结识爱伦·金斯堡、威廉·巴勒斯和尼尔·卡萨迪等“垮掉的一代”。 凯鲁亚克大学二年级退学从事文学创作，并辗转于美国海军和商用航运公司等处。一九五○年，第一部小说《乡镇和城市》出版。一九五七年的《在路上》问世后，他成为“垮掉的一代”的代言人，跻身二十世纪最有争议的著名作家行列。他还著有《达摩流浪者》、《地下人》、《孤独的旅人》和《孤独天使》等作品。 一九六九年十月二十一日，凯鲁亚克在佛罗里达圣彼得堡去世，享年四十七岁。
9,藏地密码1,https://book.douban.com/subject/2201813/,7.4,20464, ,何马,重庆出版社, , ,2008-4,246,24.80,平装,藏地密码,9787536679870,这是一个西藏已经开放为全世界的旅游胜地却依旧守口如瓶的秘密——公元838年，吐蕃末代赞普朗达玛登位，随即宣布禁佛，开始了西藏历史上最彻底、最血腥的一段灭佛史。在那次灭佛运动中，僧侣们提前将大量经典和圣物埋藏起来，随后将其秘密转移至一个隐秘的地方，他们在那里修建了神庙，称为帕巴拉一仁博切一达赖神庙。随着时光流失，战火不断，那座隐藏着无尽佛家珍宝的神庙彻底消失于历史尘埃之中…… 1938年和1943年，希特勒曾派助手希姆莱两次带队深入西藏；在新中国成立之初，斯大林曾派苏联专家团前后五次考察西藏，他们的秘密行动意味深远，没有人知道他们的真实目的。多年之后，身在美国宾夕法尼亚州的藏獒专家卓木强巴突然收到一个陌生人送来的信封，信封里装着两张照片，照片上惊现的远古神兽，促使卓木强巴及导师、世界犬类学专家方新教授亲赴西藏。他们在调查过程中震惊地发现，照片上的动物竟然和帕巴拉神庙有关……不久之后。一支由特种兵、考古学家、生物学家、密修高手等各色人物组成的神秘科考队，悄悄从西藏出发，开始了一场穿越全球生死禁地的探险之旅，他们要追寻藏传佛教千年隐秘历史的真相……,何马，生于四川，在西藏生活了十年。喜欢探险，曾一人独自穿越可可西里腹地、西双版纳原始森林。2006年作者开始写作《藏地密码》，2008年发表后，《藏地密码》立即成为炙手可热的畅销书。
