,书名,豆瓣链接,评分,评分人数,作者国籍,作者,出版社,原作名,译者,出版日期,页数,价格,装帧,丛书,ISBN,内容简介,作者简介
0,我执,https://book.douban.com/subject/3642673/,8.0,32694, ,梁文道,广西师范大学出版社, , ,2010-10,274,35.00,精装,理想国·梁文道作品,9787563383870,本书为梁文道先生所撰写的散文随笔集，是以香港《成报》文采版专栏“秘学笔记”的文字为主，谈及爱情婚姻、日常生活、疾病经历、信仰感悟、城市文化、文学艺术、历史记忆等个人生活体验和人生感受诸多方面。读来清新自然，体贴入微，在淡雅简约的叙述中往往给人意外的启迪。,梁文道，1970年生于香港。1988年开始撰写艺评、文化及时事评论，并曾参与各种类型的文化及社会活动。现职凤凰卫视评论员，为《南方周末》及《南方都市报》等中国内地、香港及马来西亚十余份报刊杂志专栏作家。
1,欧也妮·葛朗台,https://book.douban.com/subject/1031741/,7.8,32405,法,巴尔扎克,人民文学出版社, ,张冠尧,2000-5-1,192,8.80,平装,中学生课外文学名著必读,9787020032273,《欧叶妮·葛朗台》的故事情节简单：天真美丽的葛朗台是悭吝精明的百万富翁的独生女儿，她爱上了破产的表哥，为了他不惜激怒爱财如命的父亲，倾尽全部私蓄资助他闯天下。至此，父女关系破裂，胆小贤淑的母亲吓得一病不起。在苦苦的期待中丧失了父亲、损耗了青春的姑娘，最终等到的却是发财归来的负心汉。巴尔扎克为整个故事情节提供了一个真实的行动背景，并在这一背景中塑造了一个个有血有肉的人物形象，这些人物形象不仅是典型化了的个人，而更是个性化了的典型。这种套路的故事，不但没有使巴尔扎克的作品落入俗套，反而更展现出了大师的风格与魅力，尽显整部作品的光彩。,
2,一九八四,https://book.douban.com/subject/1858576/,9.3,33542,英,乔治·奥威尔,上海译文出版社,Nineteen Eighty-Four,董乐山,2006-8,283,13.00,平装,译文名著文库,9787532739974,《一九八四》是奥威尔的传世之作，堪称世界文坛上最著名的反乌托邦、反极权的政治讽喻小说。他在小说中他创造的“老大哥”、“双重思想”、“新话”等词汇都已收入权威的英语词典，甚至由他的姓衍生出“奥威尔式”（Orwellian）、“奥威尔主义”（Orwellism）这样的通用词汇，不断出现在报道国际新闻的记者笔下，足见其作品在英语国家影响之深远。,"乔治·奥威尔（George Orwell, 1903-1950），英国作家。本名埃里克·亚瑟·布莱尔（Eric Arthur Blair），生于印度，父亲为殖民地官员。14岁考入伊顿公学，获取奖学金。1921从伊顿公学毕业后考取公职，到缅甸作了一名帝国警察，在那里，被奴役的殖民地人民的悲惨生活刺激了奥威尔的良知。他1927年辞职，后来写下与此段经历有关的《绞刑》（A Hanging, 1931），《缅甸岁月》（Burmese Days, 1934）和《猎象记》（Shooting an Elephant, 1936）这些纪实性作品。 1928年1月回国后，奥威尔深入到社会底层，四处漂泊流落。在巴黎、伦敦两地，当过洗盘子的杂工，住过贫民窟，常常混迹在流浪汉和乞丐之中。次年，写下了关于这段经历的纪实性作品《巴黎伦敦落魄记》（Down and Out in Paris and London, 1933），真切地描述了生活在社会底层的人民的苦难。正是在为这部作品署名时，他用了“乔治·奥威尔”这一笔名。 1936年7月，西班牙内战爆发。同年年底，奥威尔与新婚妻子一同奔赴西班牙，投身于保卫共和政府的战斗。奥威尔在前线担任少尉，喉部曾受重伤。他为记述西班牙内战而写的《向卡特洛尼亚致敬》（Homage to Catalonia, 1938）一书，后来成为关于这场内战的一部权威性文献。 西班牙左翼共和政府的内部分裂，致使战争失利，而奥威尔差一点丧身在共和政府内部党派之争的倾轧中。这个惨痛的经验对他影响巨大。他曾说自己“从1930年起就是一个社会主义者了”，而这时候，他又开始考虑“捍卫民主社会主义”的问题了。这个思想出发点，一直影响到他后期的影响最广的两部名作——《动物农场》和《1984》的创作。 1950年1月，奥威尔病逝，终年46岁。"
3,亲爱的安德烈,https://book.douban.com/subject/3369793/,8.6,120768, ,龙应台,人民文学出版社, , ,2008-12,288,26.00,平装, ,9787020068616,安德烈十四岁的时候，龙应台离开欧洲，返回台湾，就任台北市首任文化局长。等她卸任回到儿子身边，安德烈已是一个一百八十四公分高的十八岁的小伙子，坐在桌子另一边，有一点“冷”地看着妈妈。 他们是两代人，年龄相差三十年；他们也是两国人，中间横着东西文化。失去小男孩安安没关系，但龙应台一定要认识成熟的大学生安德烈。 于是，母子俩用了三年时间互相通信。龙应台“认识了人生里第一个十八岁的人”，安德烈“也第一次认识了自己的母亲”。 收入此书的的三十多封书信，感动了无数被“亲子”之间隔阂与冲突深深困扰着的读者，为读者弭平代沟、跨越文化阻隔、两代人沟通交流带来了全新的思维和方法。,龙应台，生于台湾高雄县。1986年出版《野火集》，抨击国民党政府黑暗统治，轰动台湾，当月再版二十四次，对台湾社会发生巨大影响。 1999年任首任台北市文化局局长。2003年来，先后任香港城市大学、香港大学访问教授。《南方人物周刊》中国“五十位最具影响力的公共知识分子”之一。 安德烈（Andreas Walther） 1985年12月生于台湾，八个月大移居瑞士及德国。2006年进入香港大学经济系，认为经济学得很“好玩”。
4,历史深处的忧虑,https://book.douban.com/subject/1027191/,9.0,44949, ,林达 / 李晓林,生活·读书·新知三联书店, , ,1997-5,320,19.00,平装,林达作品系列,9787108010186,美国的面积和中国差不多。和大多数留学生及新移民一样，当我们一脚踏上这块广袤的陌生土地时，最初落脚点的选择是十分偶然的。我们落在了一个普通的地方，居住的环境平常而宁静。周围的美国人老老少少都在辛勤劳作，过着普通得不能再普通的生活。要想谋出一番好的光景，对他们也不是一件轻而易举的事情。 还来不及作任何思索，新移民所面临的生活压力就立即把我们投入了同样的辛勤劳作之中。这样，我们和周围的普通美国人之间，自然就有了共同谋生而产生的共同语言，也有了共同的经历，共同的喜怒哀乐。不少美国人还成了我们的好朋友。我们无形中发现，美国已经渐渐地从一堆抽象的概念中走出来，变成了脚下实实在在的土地，变成了一片片森林牧场，变成了一个一个美国人。 我们也有过被称之为“边缘人”的苦闷。我们显然不可能在进入这一块国土的同时，就在一瞬间也进入它的文化，而原来的文化背景又由于天长地远而渐显陌生。在实际生活中，两种截然不同的文化，会经常骤然直率地在我们面前相遇碰撞，一开始真有无所适从亦无可躲避的窘迫。然而，时间长了，我们开始对“边缘人”的处境逐渐坦然，甚至悟出了些什么。冷静下来，我们发现自己第一次能够这样坐在一个安静的地方，同时和两个文化保持一个不远也不近的距离，它们不仅开始有可能化为一片风景，而且第一次向我们呈现出前所未有的意义。 “边缘人”的苦恼在新移民中十分普遍，它只是两个强势文化聚焦在一个小人物身上而产生的悲剧性效应。我们庆幸自己能够脱身出来。但是，我们的处境使我们不可能不想到，作为一个夹缝中的移民，尚且感受到矛盾与压力，那么，当这两种文化两个大国真的正面遭遇，彼此实际上是多么陌生和困惑，说是危机四伏似乎也并不过分。我们所处的位置，使我们有可能更多地看到它们的差异。我们发现，它们不仅有各自圆满的价值体系，甚至有各自不同的语汇、语境和逻辑。有时，从一个大前提出发，顺着各自的逻辑走去，竟会走出风马牛不相及的结果来。在这样的基础上，对话只可能显得痛苦而吃力。 因此，好像在作出举手相迎或严辞相拒的决定之前，还有一段相当艰苦而漫长的互相了解的路必须去走。否则，轻易称“是”显得没有根据，动辄言“不”也容易文不对题。更何况，历史已经规定了它们不可能永远回避。它们都已尝试过这样做，但是，眼看着毫无结果，于是，它们又试图相互走近。有时，如果不暂时和自己的习惯思维方式生生拉开一段距离，就无法在相互了解的路上走出一步。 我们则是以一个普通新移民的身份去了解这个陌生的国家。既来之则安之，这也是我们的必由之路，我们也别无选择。 美国不是一个善于遮羞的国家，它投出一片阳光，就落下一片阴影。它全部的阴影都毫无遮掩地暴露在所有的人面前，哪怕你是一个陌生人。所以，即使是像我们这样的平常外来者，也会一眼就看出～大堆毛病来。但是我们马上就明白自己必须从沾沾自喜中醒来，因为后来很快发现，这并不见得就～定是自己比美国人更高明且目光更敏锐。他们似乎也很清楚有这么一片阴影，他们只是迫不得已在承认一个简单的道理，如果你追求阳光，你就躲不开身后的阴影。我们开始奇怪，美国人在容忍这片阴影的时候(这种容忍常常使他们痛苦不堪)，什么是他们心中不熄的光明呢?他们在寻求着什么，以至于不惜支付出沉重的代价呢?对于我们，这真是一个问题。在了解它的过程中，我们对这个历史短短的陌生国家产生了与日俱增的兴趣。 根据自己作为一个平民的经验，我们发现，了解的第一步就是简单的交往。不论一个大国看上去有着多么坚硬的外壳，它的人民都是一个个平平常常，而再大的大国也就是这些平常人组成的。当人民成为朋友，交流变成友谊，相互了解自然就开始了。任何一方，能以更宽广的视角去看这个世界， 总是一件好事情。 去年，我们逐渐给自己在国内的好朋友写了这些信。希望能和朋友们分享我们的所读所见所闻所思。在此，衷心感谢三联书店的编辑和所有帮助这本书出版的朋友。,林达为两名作者合用的笔名。他们都于1952年出生在上海，1978年进入大学。现居美国。作品有“近距离看美国”系列：《历史深处的忧虑》、《总统是靠不住的》、《我也有一个梦想》，以及《带一本书去巴黎》。译著有《汉娜的手提箱》、《克拉拉的战争》、《盖比橱柜的秘密》等。
5,千年一叹,https://book.douban.com/subject/1020241/,7.6,25280, ,余秋雨,作家出版社, , ,2002-10,520,35.00,平装, ,9787506318891,余秋雨作为特邀嘉宾，参与了香港凤凰卫视组织的大型跨国采访报道活动——“千禧之旅”，过程中所写的日记及散文在国内外多家报纸同步发表后引起较大反响。《千年一叹》即为这些文章的结集，记录了作者随“千禧之旅”越野车队跋涉四万公里的经历。,余秋雨，1946年8月23日出生于浙江省余姚县桥头镇（今属慈溪）。艺术理论家、文化史学家、散文家，曾任上海戏剧学院校长。
6,天使禁獵區,https://book.douban.com/subject/1401840/,8.3,12734, ,由貴香織里,大然文化, ,宋惠芸,1995-2, , , , ,9789572516416,故事是从中空回廊印封的有机天使亚蕾克西尔之躯体被盗开始的。邪鬼九雷与其堂兄紫罗九音为了让亚蕾克西儿复活而前往人界寻找亚蕾克西儿灵魂所托之人（简称“持魂者”），于是遇上了本故事的主角无道刹那。当时刹那正陷入与其胞妹无道纱罗的矛盾苦恋中，无暇顾他。同时，偷跑来人界的炽天使肯达为解救被封印的无机天使罗洁爱尔而实行所谓的“天使禁猎区”计划，即向灵力高的无辜学生奉送可以吸取其灵力的游戏光盘，然后通过召唤阵将这些灵力集中起来（当然灵力被吸走后人就会死亡）并达到解封的效果。现在各路人马都齐集于物质界——地球，揭开人界天界魔界新纪元的大事件即将发生。然而，刹那对自己是亚蕾克西尔的持魂者一事一无所知且毫不关心，但命运的残酷让他不得不正视这一点。首先是最信赖的学长吉良朔夜在他眼前被杀，然后发现了吉良学长不是人类的真相，之后最宝贵的妹妹死于非命。悲哀和愤怒使刹那觉醒，世界因而崩溃了。,作者：由贵香织里 生日：12月18日 出生地点：日本东京市 血型：B 星座：射手座 性格特点：易冷易热的女人，毫无记忆和毅力 处女作：1987年的《夏服的绘理依》 很早就开始学习漫画的由贵香织里，其第一年的习作是《吸血鬼之恋》。得到漫画挑战赛准入选奖的《爱情追缉令》是她在刊载处女作前的最后一部习作，曾被由贵笑称为不可能会得奖的作品。1987年，由贵的处女作《夏服的绘理依》在《别册花与梦》秋之号上刊载，受到读者的欢迎，从此，由贵就一发不可收拾——《残酷的童话》、《沙砾王国》、《戒音》、《毒伯爵该隐》、《天使禁猎区》，部部佳作接连推出，不仅强力震撼了众多读者，也在世纪末的日本漫坛刻下了“由贵香织里”的大名 出道前作品：《When A Heart Beats》 1987年 《夏服的绘理依》 1987年 《恶魔一族》 1988年 《橘色限时炸弹》 1989年 《Tokyo Top》 1990年 《洛杉矶的惊险之旅》 1990年 《时间停止的少年》 1991年 《Double》 1992年 《回应石》 1992——1993年 《螺子》 1993年 《砂砾王国》 1991——1994年《毒伯爵该隐》、《情伤茱丽叶》、《谁杀了知更鸟》、《卡夫卡》、《赤羊之刻印》 1994——2000年 《天使禁猎区》 1996年 《戒音》 1998年 《少年残像》 2000年底 《路易革命之白雪姬》 2001年2月 《路易革命之荆棘公主》 2001年4月 《螺子》 2001年5月始 《毒伯爵该隐》连载又开!《God Child》系列 2003年 《夜行爱人专门店 》11月《 GOD CHILD》结载
7,在细雨中呼喊,https://book.douban.com/subject/1082138/,8.4,29849, ,余华,南海出版公司, , ,1999-1,296,18.00,平装,余华作品,9787544211727,作者以第一人称讲述了一个家庭的欢乐和苦痛，细腻地刻画了柔弱的母亲如何完成了自己忍受的一生，她唯一爆发出来的愤怒是在弥留之际；名叫孙广财的父亲又是如何骄傲地将自己培养成一名彻头彻尾的无赖，他对待自己的父亲和对待自己的儿子，就像对待自己的绊脚石。家中的三兄弟的道路只是短暂地有过重叠，随即就又叉向了各自的方向。,余华（1960- ）当代作家。浙江海盐人，出生于浙江杭州，后来随父母迁居海盐县。中学毕业后，因父母是医生，作了牙医，五年后弃医从文，进入县文化馆和嘉兴文联，从此开始文学创作生涯。曾在北京鲁迅文学院与北师大中文系合办的研究生班深造，1984年开始发表小说。余华是中国先锋派小说的代表人物，与叶兆言、苏童等人齐名。作品有短篇小说集《十八岁出门远行》、《世事如烟》，长篇小说《活着》、《在细雨中呼喊》及《战栗》。
8,丑陋的中国人,https://book.douban.com/subject/1027247/,7.7,20313, ,柏杨,古吴轩出版社, , ,2005-3,211,23.80,平装, ,9787805748641,我们的丑陋，来自我们不知道自己丑陋。 台湾著名作家柏杨以“恨铁不成钢”的态度，强烈批判中国人的“脏、乱、吵”、“窝里斗”、“不能团结”、“死不认错”等，指出中国传统文化有一种滤过性疾病使我们的子子孙孙受感染，到今天也不能痊愈。,柏杨，台湾著名作家，人文大师。据柏杨自己推算，1920出生于河南辉县。1949年去台湾。自1950年代用郭衣洞之名开始创作，1960年用笔名柏杨写杂文，揭露中国文化的病态与台湾社会的黑暗面。目前定居台北。 柏杨一生念过无数个学校，从小学到大学，因屡屡被学校开除，从没有拿过一张文凭，为此还造过假文凭。一生中娶过五个妻子，每一次婚姻都伴随过一段如烟往事。少年时代打过继母，青年时代从过军，和蒋氏父子都有过面对面的经历，多次企图自杀，无数次被学校和单位开除，曾遭遇十年牢狱之灾，在七十年代几乎被将决…… 柏杨一生著述丰厚，《柏杨版资治通鉴》在台湾被誉为最有价值和最畅销的一部书，《中国人史纲》被列为对社会影响力最大的十部书之一，其中《丑陋的中国人》在当代华人世界中流传最为广泛。
9,飞鸟集,https://book.douban.com/subject/1058661/,8.9,64843,印,罗宾德拉纳德·泰戈尔,哈尔滨出版社, ,徐翰林,2004-6,186,16.80,平装,先知双语经典,9787806992197,《飞鸟集》是泰戈尔的代表作之一，也是世界上最杰出的诗集之一。白昼和黑夜、溪流和海洋、自由和背叛，都在泰戈尔的笔下合而为一，短小的语句道出了深刻的人生哲理，引领世人探寻真理和智慧的源泉。初读这些诗篇，如同在暴风雨过后的初夏清晨，推开卧室的窗户，看到一个淡泊清透的世界，一切都是那样清新、亮丽，可是其中的韵味却很厚实，耐人寻味。,泰戈尔，印度诗人、思想家。生于孟加拉数一数二的名门中，是印度四种阶级中最高身份的婆罗门。泰戈尔家是当时孟加拉的学问艺术中心，其父亲为宗教思想家，是婆罗摩尼的指导者，生活在具有先进思想的家庭中，其兄长们皆以哲学家、音乐家、梵文学者而著名。泰戈尔8岁就开始作诗，15岁时出版诗集《原野之花》，被称为“孟加拉的雪莱”。1877年留学英国，1883年结婚，1880年以前的作品，均为描写甜美的爱情与世界之美的诗。1891年前往雪利德管理土地，接触到农村悲苦的生活，从此致力于农村改革运动。同时也开始对政治、社会问题发生兴趣，写作了激发印度独立之爱国怀操的诗、小说、戏曲、还参与印度独立运动。后来，因丧失妻子、女儿，诗风转为具有宗教性风格，以宗教诗为主的译诗集〈以歌神的敬礼〉，在欧洲文坛上获得极高的评价。1913年获得诺贝尔文学奖，闻名全球，其中代表作品有诗集〈飞鸟集〉、〈新月集〉，戏民〈邮政局〉、〈暗室之王〉等。作品深受世人喜爱。
