,书名,豆瓣链接,评分,评分人数,作者国籍,作者,出版社,原作名,译者,出版日期,页数,价格,装帧,丛书,ISBN,内容简介,作者简介
0,草样年华,https://book.douban.com/subject/1007334/,7.2,31680, ,孙睿,远方出版社, , ,2004-1,327,19.50,平装, ,9787805959177,《草样年华》是一部描写大学生活的长篇爱情小说，以邱飞和周舟的爱情生活为主线，塑造了大学生邱飞、杨阳等个性鲜明的人物。在学校里，他们都是所谓不务正业的“坏”学生，无心学习，整天琢磨着逃避考试、偷窥女生宿舍、谈恋爱、玩乐队、喝酒、打架等等，为读者展开了一幅活灵活现的大学生活众生相。但他们实际上又是充满理想和热情的青春少年，他们渴望找到灵魂的出口，热爱文学和音乐，内心充满了善良和对未来的期待，只是与大学校园死板、程序化的环境格格不入，这才导致了他们的愤世嫉俗，以微弱的“坏”来与周围的环境相抗争。直到最后才猛然惊醒，为自己青春的面目全非和支离破碎而备觉荒凉，在此情可待成追忆时，才知道爱情和生活的可贵。,孙睿，1981年生，北京人。图书策划人沈浩波认为，与郭敬明，何员外等青春作者相比，孙睿的文学准备更为充分，作为一个北京孩子，他完全继承了京味作家幽默洒脱的文风，他的小说有着王朔式的幽默，却没有王朔的油滑；有着王小波式的睿智，却没有王小波的炫耀；有着石康式的浑不吝，却不像石康那样一味地颓靡。
1,小团圆,https://book.douban.com/subject/3616310/,7.7,50057, ,张爱玲,北京十月文艺出版社, , ,2009-4,283,28.00,精装,张爱玲全集（2009版）,9787530209981,这是一个热情故事，我想表达出爱情的万转千回，完全幻灭了之后也还有点什么东西在。——张爱玲 《小团圆》以一贯嘲讽的细腻工笔，刻画出张爱玲最深知的人生素材，在她历史中过往来去的那些辛酸往事现实人物，于此处实现了历史的团圆。那余韵不尽的情感铺陈已臻炉火纯青之境，读来时时有被针扎人心的滋味，故事中男男女女的矛盾挣扎和颠倒迷乱，正映现了我们心底深处诸般复杂的情结。,张爱玲（1920-1995），中国女作家。祖籍河北丰润，生于上海。1943年开始发表作品，代表作有中篇小说《倾城之恋》、《金锁记》、短篇小说《红玫瑰与白玫瑰》和散文《烬余录》等。1952年离开上海，1955年到美国，创作英文小说多部。1969年以后主要从事古典小说的研究，著有红学论集《红楼梦魇》。已出版作品有中短篇小说集《传奇》、散文集《流言》、散文小说合集《张看》以及长篇小说《十八春》、《赤地之恋》等。
2,射雕英雄传,https://book.douban.com/subject/1044547/,9.1,83268, ,金庸,生活·读书·新知三联书店, , ,1999-04,1263,47.00,平装,金庸作品集（三联口袋本）,9787108012586,《射雕英雄传》是金庸的代表作之一，作于一九五七年到一九五九年，在《香港商报》连载。《射雕》中的人物个性单纯，郭靖诚朴厚重、黄蓉机智狡狯，读者容易印象深刻。这是中国传统小说和戏剧的特征，但不免缺乏人物内心世界的复杂性。由于人物性格单纯而情节热闹，所以《射雕》比较得到欢迎，被拍成各种语种的电影和电视剧在全球众多国家和地区热播。,金庸（1924-2018 ），当代最为著名的武侠小说作家。他本名查良镛，浙江海宁人，上海东吴法学院毕业。1959年在香港亲手创办明报机构，出版报纸、杂志和图书，1993年退休。先后创作了十五部长篇及短篇的武侠小说，广受欢迎，印量无数。曾获颂多项荣衔，包括2000年获香港特别行政 区颁授最高荣誉大紫荆勋章，香港和各国多所大学的荣誉学位、名誉教授、院士。还担任过浙江大学人文学院院长，英国牛津大学汉学研究院高级研究员。
3,常识,https://book.douban.com/subject/3344676/,8.1,45528, ,梁文道,广西师范大学出版社, , ,2009-1,367,38.00,平装,理想国·梁文道作品,9787563379637,梁文道先生近两年来撰写的时评文字结集，谈及政治、民主、民族、教育、新闻自由、公民道德等社会诸多方面。文字风格犀利，文章主旨清晰、论述简洁有力，往往一针见血命中问题之要害，其文字在带给读者阅读快感之余，还催人省思，给人启示。本书名曰《常识》，正如梁氏自言：“本书所集，卑之无甚高论，多为常识而已。若觉可怪，是因为此乃一个常识稀缺的时代。”,梁文道，1970年生于香港。1988年开始撰写艺评、文化及时事评论，并曾参与各种类型的文化及社会活动。现职凤凰卫视评论员，为《南方周末》及《南方都市报》等中国内地、香港及马亚西十余份报刊杂志专栏作家。
4,年华是无效信,https://book.douban.com/subject/1227838/,7.6,41689, ,落落,春风文艺出版社, , ,2005-2,154,20.00,平装16开, ,9787531328865,在任何传说中，友情永远以无暇而美丽的姿态根生在青春的土壤上，迎风摇曳她们美好的叶瓣。女孩子们将友情具象为结伴成行、同喜同悲、片刻不离等等亲密的举动，好像生来就是双生花那样地相互依靠。但在高中女生宁遥心里，在她每时每刻都与好友王子杨在一起的时候，却隐藏着异常强烈而真实的厌恶感。如同气味强烈的酒精，向内心不断散发着刺鼻的味道。 每当宁遥无处诉说的时候，她便去学校体育仓库后找写满了许多人的涂鸦的墙。在那里，她可以将对好友的种种不满和厌恶一一倾吐，只为了在面对她的时候能够将一切掩盖得结结实实，两人继续着亲密的朋友关系，没有任何疑点。 就在宁遥以为一切可以继续这样的状态，直到她们走过这段青春时，由于结识了男生陈谧而变得心情动荡的她，被王子杨发现了秘密，两人因此而有了一次严重的冲突。宁遥忍不住在墙上又一次写下对朋友的不满后，这一泄露秘密的字句却被王子杨发现了。 尽管有无关的男生萧逸祺撒谎为宁遥顶罪，让即将破裂的局面又回到了平静的过往。可事情却有了大大的不同。发现事实而佯装被骗，继续在宁遥身边的王子杨，和内心充满了对好友的愧疚，忍不住想补偿的宁遥，两人在随后的生活中开始了自觉与不自觉的纠缠。既有不断产生的温情，又有主动兴起的恨意……而那些矛盾看似尖锐，却又缓缓流动着青春的热度。 在她们两人异常的友情之花下被牵连进来的陈谧和萧逸祺，两个个性迥然的男生也逐渐染上了被动的色彩。四个人之间的排斥与依赖，喜爱与憎恶，全都因为体育仓库后的那面墙，而变得难以预测。 那些在美丽的传说中以晶莹姿态舒展的青春情感，最后将以分离作为终结，又或者，如同投错了地址的信笺，落在荒芜的人世外，而每一笔记载下的句子，都带着温暖而美好的本意……,落落，82年4月生，上海人，编辑，自由撰稿人。 著有长篇小说《年华是无效信》（2005年），短篇小说集《那些生命中温暖而美好的事情》（2005年），长篇小说《尘埃星球》（2007年），随笔集《不朽》（2008年）。
5,机器猫哆啦A梦23,https://book.douban.com/subject/1204889/,9.5,29010, ,藤子・F・不二雄,吉林美术出版社, ,碧日,1999-12,192,8.00,平装,哆啦A梦,9787538609257,这是一套关于机器猫“小叮当”的非常有趣的动画故事集。本册是其中之一。小朋友们不要错过哟！,
6,山楂树之恋,https://book.douban.com/subject/2243213/,7.9,43439, ,艾米,江苏文艺出版社, , ,2007-9,298,25.00,平装, ,9787539926605,小说《山楂树之恋》中的故事，发生在1975年前后那段贫穷而包含理想的时光。 静秋是个漂亮的城里姑娘，因为父亲是地主后代，家庭成份不好，文革时很受打击，静秋一直很自卑。静秋和一群学生去西村坪体验生活，编教材。她住在村长家，认识了“老三”。老三喜欢上了静秋，很喜欢，静秋怕他欺骗她，起初常常躲避。英俊又有才气的老三是军区司令员的儿子，却是极重情谊的人，甘愿为静秋做任何事，给了静秋前所未有的鼓励。他等着静秋毕业，等着静秋工作，等着静秋转正。等到静秋所有的心愿都成了真，老三却得白血病去世了。那时候，1976年，老三他还很年轻。,艾米，女，2005年开始在文学城连载纪实性长篇故事，著有《致命的温柔》（与人合著）《十年忽悠》《不懂说将来》《三人行》《同林鸟》等。
7,明朝那些事儿（贰）,https://book.douban.com/subject/1949338/,8.9,56692, ,当年明月,中国友谊出版公司, , ,2007-1,281,24.80,平装,明朝那些事儿,9787505722859,自永乐夺位的“靖难之役”后开始，先叙述了中国历史上赫赫有名的永乐大帝事迹——挥军北上五征蒙古，派郑和七下西洋，南下讨平安南等等，后来永乐于北伐蒙古归来途中病逝。明朝在经历了比较清明的“仁宣之治”后，开始进入动荡时期。大宦官王振把持朝政胡作非为，导致二十万精兵丧于一旦，幸亏著名忠臣于谦在“土木堡之变”中力挽狂澜，挽救了明帝国，但随即又在两位皇帝争夺皇位的“夺门之变”后被害身亡。,当年明月，青年历史学者，畅销书作家。专业职称为副研究员，明史学会会员。是心灵历史的开创者，担任国内多家电视台文史类节目主讲人。所著作品《明朝那些事儿》销量过五百万册，为三十年来最畅销之史学读本。
8,檞寄生,https://book.douban.com/subject/1012203/,7.7,23201, ,蔡智恒,中国戏剧出版社, , ,2001-12,293,19.80,平装,小说E时代丛书,9787104014447,《槲寄生》延续了蔡智恒小说一贯的浪漫气氛，描述“我”实在不是故意，但仍旧不小心同时爱上两个女孩的“三角恋”故事：在台北担任研究助理的“我”，打开抽屉，随手拿出一根烟抽，要把烟拧息时，发现烟上有字…… 每抽一根烟，便忆起一段往事。最让他心动的是她，那个在烟上写字的女孩；可另一个她也叫他痛苦，那是让他重拾信心的女孩。当你令两个女孩心痛，你就不得不做一个选择；当两个女孩令你忆起左肩右肩痛，你就知道自己中毒太深，要细细分辨，什么是真爱，什么是一生所爱…… 爱抽MILD SEVEN的蔡智恒，用十根烟串起一个浓淡相宜的爱情故事，就像《第一次的亲密接触》一样，其中或多或少难免糅进自己切身的情感经历。,
9,蔷薇岛屿,https://book.douban.com/subject/1312333/,8.2,16402, ,安妮宝贝,天津人民出版社, , ,2005-5,196,22.00,平装,新经典文库·安妮宝贝作品,9787201050317,安妮宝贝的第一本图文书，记录了作者从上海、北京、香港、越南、柬埔寨，一路行走，在旅途中拍摄的照片及写下的字，其间穿插了很多有关亲情的回忆，,安妮宝贝，畅销书作家。已出版的长篇小说、短篇小说集、摄影图文集有《告别薇安》《八月未央》《彼岸花》《蔷薇岛屿》《二三事》《清醒纪》《莲花》七部作品。现居北京，从事写作、旅行、编剧等。
