,书名,豆瓣链接,评分,评分人数,作者国籍,作者,出版社,原作名,译者,出版日期,页数,价格,装帧,丛书,ISBN,内容简介,作者简介
0,窥视日本,https://book.douban.com/subject/1438461/,7.9,4510,日,妹尾河童,生活·读书·新知三联书店, ,陶振孝,2005-11,158,15.00,平装,妹尾河童作品系列,9787108023308,《窥视日本》是妹尾河童继《窥视印度》、《河童旅行素描本》之后，又一部构思新奇，视角独特的画书。作者这一次将视线聚集于自己的祖国——日本，从皇居到监狱，从锁具到文身，从豪华舒适的东方快车到日本的新干线……边写边画，巨细靡遗，其孩童般的好奇心跃然纸上。,妹尾河童，日本当代具代表性的舞台设计家，1930年生于神户，1954年因舞台设计而崭露头角，此后活跃于戏剧、歌剧、芭蕾舞、音乐剧、电视等表演艺术领域，曾获“纪伊国屋演剧”、“山多利音乐”、“艺术祭优秀”、“兵库县文化”等众多奖项。
1,活了100万次的猫,https://book.douban.com/subject/1257365/,9.0,18481,日本,佐野洋子,接力出版社, ,唐亚明,2004-10,30,28.00,精装, ,9787806795095,有一只100万年也不死的猫，其实它死了100万次，又活了100万次。是一只漂亮的虎皮花猫。有100万个人宠爱过它，有100万个人在它死的时候哭过，可是它连一次也没有哭过。 猫曾经是国王的猫。猫讨厌国王，国王总是发动战争，还把猫用一个漂亮的篮子装起来，带到战场上。有一天，猫被一只冷箭射死了。国王捧着猫哭了起来，仗也不打了，回到了王宫，把它埋在了院子里。 猫曾经是水手的猫。猫讨厌大海，水手带它走遍了全世界的大海和全世界的码头。有一天，猫从船上掉了下来淹死了。水手用网子把猫捞了上来，抱着它大哭起来，把它埋到了一个遥远的港口的树下。 猫还曾经是一个魔术师的猫、曾经是一个小偷的猫、曾经是一个孤零零的老太太的猫、曾经是一个小女孩的猫，它被锯死过、被狗咬死过、老死过，还被背孩子的带子勒死过，不过，它已经不在乎死亡了。 后来，猫就谁的猫也不是了。它成了一只野猫。它头一次变成了自己的猫。它最喜欢自己了，漂亮的虎皮花猫终于变成了漂亮的野猫。母猫们都想嫁给他，有的给它大鱼，有给它上等的老鼠，它说：“我可死过一百万次呢！”它比谁都喜欢自己。 只有一只猫连看也不看它一眼，一只美丽的白猫。它走过去说：“我可死过一百万次呢！”“是吗？”白猫只说了这么一声。它有点生气了，因为它太喜欢自己了。第二天、第三天，它都走到白猫的身边，说：“你还一次也没活完吧？”“是吗？”白猫只说了这么一声。有一天，它在白猫的面前翻了三个跟头，说：“我呀，曾经是马戏团的猫呢。”“是吗？”白猫只说了这么一声。“我呀，我死过100万次……”说到一半的时候，它问白猫，“我可以呆在你身边吗？”“行呀。”白猫说。就这样，它一直呆在了花猫的身边。 白猫生了好多可爱的小猫。它再也不说“我呀，我死过100万次……”了。它比喜欢自己，还要喜欢白猫和小猫们。 小猫们很快就长大了，走掉了。它满足地说：“它们都成了出色的野猫啦。”“是啊。”白猫说，嗓子眼儿里发出了温柔的“咕噜咕噜”声。白猫已经成了一个老奶奶了，它对白猫更温柔了，它想和白猫永远地活下去。 有一天，白猫在它身边静静地不动了。它哭了起来，从夜里哭到早上，又从早上哭到夜里，它哭了有100万次。一天中午，它的哭声停止了。它在白猫的身边静静地不动了。 猫再也没有起死回生过。,佐野洋子，日本著名绘本作家，出生于中国北京，毕业于日本东京武藏野美术大学设计系，曾在德国柏林造型大学学习石版画。
2,浮生六记,https://book.douban.com/subject/1088581/,8.7,69111, ,（清）沈复,人民文学出版社, , ,1999-1,80,38,平装,中国小说史料丛书,9787020028313,这是一部自传体文学的作品，原书六卷，已逸其二，现仅存四卷（有所谓“足本”者，后二记系伪作。书中记叙了作者夫妇间平凡的家居生活，坎坷际遇，和各地浪游闻见。文辞朴素，情感真挚，前人曾有“幽芳凄三角，读之心醉”的评语。本书文字不长，但向为文学爱好者和研究者所重视，影响广泛。,沈复（1763~？），字三白，号梅逸，江苏苏州人。年轻时秉承父业，以游幕经商为生，后偕妻离家别居，妻子客死扬州。46岁时有感于“苏东坡云‘事如春梦了无痕’，苟不记之笔墨，未免有辜彼苍之厚”，乃作《浮生六记》。
3,穆斯林的葬礼,https://book.douban.com/subject/1084082/,8.1,10687, ,霍达,人民文学出版社, , ,2005-1,659,33.00,平装,茅盾文学奖获奖作品全集,9787020049233,小说写一个穆斯林家族三代人半个多世纪的生活，歌颂回族人民自强不息的民族性格。古都京华老字号玉器行“奇珍斋”的主人梁亦清，原是回族低层的琢玉艺人，他家有两个女儿，长女君壁长于心计，次女冰玉娇小任性。一天有位长者带名少年去麦加朝圣路过梁家，少年被精美玉器所吸引，决定留下当学徒，这就是本书主人公韩子奇。师徒两人正为一件订货劳作，这是专做洋人卖买的“汇远斋”定做的“郑和航海船”。郑和是回族的英雄，他们决心做好这件光耀民族精神的作品，三年的精雕细刻将在中秋佳节完成。不料梁亦清突然晕倒在转动着的玉坨上，宝船被毁，人也丧命。为了抵债，韩子奇到“汇远斋”当了学徒，苦熬三年终成行家。他回到奇珍斋娶了长女君壁，决心重振家业，十年之后名冠京华，又得贵子取名天星，幸福度日。可是日寇侵华战争爆发，韩子奇担心玉器珍品被毁，随英商亨特来到伦敦。妻妹冰玉不顾姐姐反对，偷出家门执意随姐夫远行。在伦敦冰玉与亨特之子奥立佛相恋，可是奥立佛在伦敦大轰炸中却不幸丧生。韩子奇与梁冰玉在海外相依为命十年，旷男怨女终于结合并生下女儿新月。战后一同回国，姐姐收留新月为自己女儿，冰玉远走他乡。新月逐渐长大成人，以优异成绩考上北大西语系。上学后与班主任楚雁潮发生爱情，因楚系汉族，为梁家反对，他们的爱情却在阻挠中愈加炽热。可是红颜薄命，新月因严重心脏病不幸逝世，楚雁潮悲痛欲绝。,霍达，1945年生，回族，北京人，中央文史研究馆馆员。著有长篇小说《穆斯林的葬礼》《补天裂》《未穿的红嫁衣》，中篇小说《红尘》，报告文学《万家忧乐》《国殇》、《小巷匹夫》《民以食为天》，及影视剧本《鹊桥仙》《我不是猎人》《龙驹》等。
4,北京，北京,https://book.douban.com/subject/2297786/,7.4,12539, ,冯唐,重庆出版社, , ,2007-11,233,23.80,精装, ,9787536691452,《北京北京》，是冯唐“万物生长三部曲”的第三部，情节与风格都一脉相承。由青春步入成熟，从萌动收获迷惘，浓重的男性荷尔蒙是冯唐作品一贯最大的特色。 这是冯唐作品中气势最猛烈，如草原野火般的一部。这位语言的魔术师，以汹涌澎湃、聪明灵动的语言，述说着自己的北京往事。他一边说笑着，一边使坏着，当你惊叹着渐渐沉迷时，却突然发现巨大的悲伤悄然而至，漫天火焰消失，然后，只有淡淡的缕缕清烟。 这是梦想中的书。嚣张，迅烈，胆大妄为。,冯唐：男，1971年生于北京。协和医科大学临床医学博士，妇科肿瘤专业，美国Emory大学工商管理硕士。现居香港，就职于麦肯锡公司（McKinsey & Co.），从事旧时被称为军师、幕僚或师爷的工作。 著有长篇小说《万物生长》、《十八岁给我一个姑娘》、《欢喜》、《北京北京》，散文集《活着活着就老了》。
5,萧十一郎,https://book.douban.com/subject/1089518/,7.9,12925, ,古龙,珠海出版社, , ,2005-8,413,19.00,平装,古龙作品集,9787806070598,,古龙，本名熊耀华，原籍江西。古龙毕业于台湾淡江大学外文系，是台湾著名新派武侠小说作家。他从1960年创作《苍穹神剑》始，一生共写了近70部武侠小说，影响巨大。其代表作有《风云第一刀》、《绝代双骄》、《楚留香传奇》系列、《陆小凤传奇》、《七种武器》系列、《白玉老虎》、《流星·蝴蝶·剑》等。
6,老人与海,https://book.douban.com/subject/1017841/,8.4,3967, ,海明威(美),世界图书出版公司, , ,1989-10,153,8.00,平装, ,9787506204392,《老人与海》的故事相当简单。老渔民桑提亚哥出海捕鱼，84天一无所获。然而他并不因此丧失信心，继续出海，经过两天两夜的苦战终于捕到一条罕见的大鱼。返航时他不幸遇上鲨鱼群，虽全力拼搏仍寡不敌众，等抵岸时大鱼只剩下了一副骨架。但这个并不复杂的故事却意义深邃，是海明威的人生哲学和创作技巧的集中表现，也是一部可以从不同侧面或层次去阅读的小说。,
7,没有教不好的学生,https://book.douban.com/subject/1441869/,8.9,5439, ,梁星乔,中国大百科全书出版社, , ,2003-9,270,26.00,平装, ,9787500069270,《没有教不好的学生:一代名师霍懋征爱的教育艺术》每篇故事后均附有林崇德教授及其弟子李玉华先生的点评。林先生是北京师范大学教学指导委员会主任、博士生导师，是我国当代著名的心理学家和教育家。他们从心理学、教育学的角度对每一个故事加以点评，为霍老师的教育思想和教育方法提供了科学的依据。,
8,Harry Potter and the Deathly Hallows,https://book.douban.com/subject/1975797/,9.0,8902, ,J.K.Rowling,Arthur A. Levine Books, , ,2007-7-21,784,34.99美,Hardcover,The Harry Potter Series (American Version),9780545010221,"Harry has been burdened with a dark, dangerous and seemingly impossible task: that of locating and destroying Voldemort’s remaining Horcruxes. Never has Harry felt so alone, or faced a future so full of shadows. But Harry must somehow find within himself the strength to complete the task he has been given. He must leave the warmth, safety, and companionship of The Burrow and follow without fear or hesitation the inexorable path laid out for him. In this final, seventh installment of the Harry Potter series, J.K. Rowling unveils in spectacular fashion the answers to the many questions that have been so eagerly awaited. The spellbinding, richly woven narrative, which plunges, twists and turns at a breathtaking pace, confirms the author as a mistress of storytelling, whose books will be read, reread and read again. Harry is waiting in Privet Drive. The Order of the Phoenix is coming to escort him safely away without Voldemort and his supporters knowing – if they can. But what will Harry do then? How can he fulfil the momentous and seemingly impossible task that Professor Dumbledore has left him with?","J. K. 罗琳（J. K. Rowling, 1965- ），英国女作家，自小喜欢写作，当过短时间的教师和秘书。二十四岁那年，她在前往伦敦的火车旅途中萌生了创作“哈利·波特”系列小说的念头。七年后，《哈利·波特与魔法石》问世，之后她陆续创作了《哈利·波特与密室》《哈利·波特与阿兹卡班囚徒》《哈利·波特与火焰杯》《哈利-波特与凤凰社》《哈利·波特与“混血王子”》和《哈利·波特与死亡圣器》，完成了该系列的创作，在全球刮起一股股“哈利·波特”飓风，在世界范围内掀起规模宏大的“哈利·波特”阅读狂潮。另外，在此期间，她还因为慈善事业而先后完成了《神奇动物在哪里》和《神奇的魁地奇球》这两部与“哈利·波特”系列相关的图书，最新完成的作品是《诗翁彼豆故事集》。 J.K.罗琳与她的丈夫及三个孩子生活在爱丁堡，一边尽享家庭生活的幸福，一边文学创作。"
9,点石成金,https://book.douban.com/subject/1827702/,8.4,7162,美,史蒂夫·克鲁克,机械工业出版社, ,De Dream',2006-8,147,39.00,平装, ,9787111184829,可用性设计是Web设计中最重要也是最困难的一项任务。《点石成金》的作者根据自己多年从业的经验，剖析用户的心理，在用户使用的模式、为浏览进行设计、导航设计、主页布局、可用性测试等方面提出了许多独特的观点，并给出了大量简单、易行的可用性设计的建议。这本书短小精悍，语言轻松诙谐，书中穿插大量色彩丰富的屏幕截图、趣味丛生的卡通插图以及包含大量信息的图表，使枯燥的设计原理变得平易近人。 此书适合从事Web设计和Web开发的技术人员阅读，特别适合为如何留住访问者而苦恼的网站/网页设计人员阅读。,
