,书名,豆瓣链接,评分,评分人数,作者国籍,作者,出版社,原作名,译者,出版日期,页数,价格,装帧,丛书,ISBN,内容简介,作者简介
0,局外人,https://book.douban.com/subject/1052203/,8.9,12341, ,(法)阿尔贝・加缪,译林出版社, ,郭宏安,1998,290,14.50,软精装,译林世界文学名著·现当代系列,9787805677927,《局外人》是加缪小说的成名作和代表作之一，堪称20世纪整个西方文坛最具有划时代意义最著名小说之一，“局外人”也由此成为整个西方文学-哲学中最经典的人物形象和最重要的关键词之一。,阿尔贝·加缪（Albert Camus，1913—1960），法国声名卓著的小说家、散文家和剧作家，“存在主义”文学的大师。1957年因“热情而冷静地阐明了当代向人类良知提出的种种问题”而获诺贝尔文学奖，是有史以来最年轻的诺奖获奖作家之一。加缪在他的小说、戏剧、随笔和论著中深刻地揭示出人在异己的世界中的孤独、个人与自身的日益异化，以及罪恶和死亡的不可避免，但他在揭示出世界的荒诞的同时却并不绝望和颓丧，他主张要在荒诞中奋起反抗，在绝望中坚持真理和正义，他为世人指出了一条基督教和马克思主义以外的自由人道主义道路。他直面惨淡人生的勇气，他“知其不可而为之”的大无畏精神使他在第二次世界大战之后不仅在法国，而且在欧洲并最终在全世界成为他那一代人的代言人和下一代人的精神导师。
1,平面狗,https://book.douban.com/subject/2297706/,8.2,12327,日本,乙一,当代世界出版社, ,李颖秋,2007-10,288,20.00,平装,乐读文库,9787509002773,神秘的中国美女姐姐离开日本之前在我的左臂上刺了一个可爱的小狗刺青，我给它起名叫“波奇”。但怎么没有人提前告诉我波奇竟然是可以活动的！从此我身体成了波奇的领地，会叫会跑的波奇像一只真正的小狗一样生活在我身体的皮肤上。但是我要如何喂养它？怎样才能管住它的调皮与任性呢？还有一个严重的问题是它会不会在我身上拉屎啊……就在我头疼得准备抛弃它的时候，它逃跑了，要怎样才能抓得到一只在我身体上四处潜逃只有三厘米长的小狗？ 如果是你，这样的小狗你愿意舍弃吗？如果选择舍弃的话，就把波奇所在的那块皮肤移植给喜欢它的人吧，不过再三思一下吧，其实波奇就跟孩子一样，是个甜蜜的负担。,乙一（おついち、1978年10月21日—— ），本名安达宽高，生于日本福冈。被誉为日本文坛新一代“恐怖小说精英”，日本评论家盛赞其为难得一见的天才。其作品在日本国内多次获奖。深受日本和港台地区读者喜爱。 17岁时凭借《夏天·花火·我的尸体》荣获第六届“JUMP小说·纪实小说大奖”，一举成名。2002年出版的《GOTH断掌事件》荣获第三届“MYSTERY奇幻大奖”，销量高踞“2003年MYS7ERY BEST 10”第五位，亦荣获Yaho！Japan读者选为“2002年最佳奇幻小说”第一位。 已出版作品：《夏天·花火·我的尸体》（集英社/独步文化）、《天帝妖狐》（集英社/独步艾化）、《石之目》（集英社）、《平面狗》（集英社文库）、《暗黑童话》（集英社）、《瀕死之绿》（幻冬舎文库/尖端出版）、《在黑暗中等待》（幻冬舎文库/尖端出版）等。
2,LA流浪記,https://book.douban.com/subject/1343089/,8.1,4582, ,蔡康永,皇冠文化出版有限公司, , ,2012-3-12,256,NT$250,平装, ,9789573319962,你不想流浪嗎？你不想從現在的生活逃離嗎？哪怕是一下下也好？如果這樣的機會來了，你會不會真的去流浪？……我知道有些人的流浪不快樂，有些人的流浪是不得已。我的人生裡，當然也有些小規模的流浪是不得已、不快樂的。但是在 L.A. 的這幾年，我都很暢快、很自在。我遇見跟我很不一樣的人們，跟著他們做很多我一個人時不會做的事，我有時被輕視，有時被重視；有時被耍，有時耍人；有時狡猾，有時天真。我很懷念那段日子、那些朋友，我把他們寫出來，讓你也一起逛逛我的夢中城堡，陪我回味那麼靠近夢想時的滋味。但願我的人生，都還會有更靠近夢想的時刻會到來。 ─ 蔡康永 作者簡介 蔡康永 蔡康永是橫跨藝文、影劇界的天王才子。 主持電視節目有『真情指數』、『兩代電力公司』、『觀點360』、『周二不讀書』。廣播節目有『台北黑眼圈』、『蔡康永台北秀』。做過的雜誌有『ＧＱ』。著有《痛快日記》、《你睡不著我受不了》、《不乖蔡康永 ─ 同情我可以親我》《再錯也要談戀愛》。有聲書作品有《歡樂三國志》、《頑童三部曲》!,《LA流浪记》是一部带自传性质的故事集，内含18篇外，此外还独家披露蔡康永的学生照。 讲述蔡康永在美国加州大学洛杉矶分校UCLA攻读电影硕士的故事，和同朋友干“坏事”乐事开心事不断以及发生的奇闻轶事，让读者开心的同时还有励志的感悟。将游学当作流浪，把青春过成冒险，把自己装作“人在江湖”、享受这么一段漂泊的少年……不乖蔡康永的这个青春时代，会特别好玩！ 一生必须要有一次的自我放纵！
3,素年锦时,https://book.douban.com/subject/2317973/,8.1,11653, ,安妮宝贝,作家出版社, , ,2007-11,264,29.00,精装, ,9787506341608,《素年锦时》是安妮宝贝小说散文新作集。 全书以春夏秋冬分章。作者以文字探索自我与外在环境及内心世界的关系，以及与之保持的疏离感。这种疏离感使她得以对照记忆与真实之间细微层次，沉着谈论身世，家庭，童年，回忆中消失的南方，流失，生命的客观性。剥离回忆的黑暗和光亮之处，将之呈现在多年新旧读者的面前。并且关注点由早期书写偏重的情感主题，逐渐转移到知识和思省的层面。坦直讨论写作和作品，涉及天分，交际，孤立，圈子，争议，价值观，读书，世相，人情，个人态度等等。风格清淡洗练，观点直率深入。 这本书所呈现的心灵疆域和思考力，“深林人不知，明月来相照”，文字如同穿越月光夜色的清越笛声。一个素颜女童和始终执守边缘的写作者，身份分裂交错。出入自如，似漫游无人之境。 书中另有一篇最新三万字小说《月棠记》，内容首次涉及都市男女婚姻主题。作者称之为“讲述成人的故事，属于孩子的心。,安妮宝贝，自由作家，现居北京。曾任职金融广告网络等行业。已出版短篇小说集《告别薇安》，散文及短篇小说集《八月未央》，长篇小说《彼岸花》，摄影图文集《蔷薇岛屿》。
4,水煮三国,https://book.douban.com/subject/1077497/,7.3,7715, ,成君忆,中信出版社, , ,2003-07,310,26.00,平装, ,9787800737985,管理是一个需要务实的领域，管理学也是一种需要务实的学问。成君忆先生将人力资源管理和市场营销管理中遇到的各种问题及对策，用大话三国的写作方式娓娓道来，看似荒诞不经，实则大有深意存焉。——香港人力资源学会会长 蔡惠琴 君忆先生文笔流畅，语意创新，文章阅读起来轻松幽默，对经常处在忙碌与压力之下的现代企业管理者来说，实为另一种好的休闲选择，不但有学习的效果，也达到了缓解工作压力的目的。——台北市培训经理协会理事 倍晟管理咨询公司总经理 张序诚 一部《三国》，智者从中取功利，仁者从中看因果。何谓因果呢？在智者看来，就是管理和管理的绩效。修身、齐家、治国、平天下，从个人的心灵到公司的组织，无一不是管理的对象。本书用三国故事做底料，麻辣风味的快意管理学将三国看做竞争市场中的三类公司，融三国智慧与管理精义于一体，寓至理于谈笑之中 作者简介： 成君忆先生现任亚太人力资源研究协会（APHRA）副秘书长。他是一位具有10年从业资历的企业管理顾问，在塑造品牌特征、整合营销传播、组织设计、人才选拔、职业生涯规划、团队建设等诸多领域都有突出的表现。他的客户包括一些世界500强企业的在华机构。,成君忆先生现任亚太人力资源研究协会（APHRA）副秘书长。他是一位具有10年从业资历的企业管理顾问，在塑造品牌特征、整合营销传播、组织设计、人才选拔、职业生涯规划、团队建设等诸多领域都有突出的表现。他的客户包括一些世界500强企业的在华机构。
5,洗澡,https://book.douban.com/subject/1078250/,8.2,17362, ,杨绛,人民文学出版社, , ,2004-01,265,16.00,平装, ,9787020043804,《洗澡》不是由一个主角贯连全部的小说，而是借一个政治运动作背景，写那个时期形形色色的知识分子。所以是个横断面；既没有史诗性的结构，也没有主角。本书第一部写新中国不拘一格收罗的人才，人物一一出场。第二部写这些人确实需要“洗澡”。第三部写运动中这群人各自不同的表现。“洗澡”没有得到预期的效果，原因是谁都没有自觉自愿。假如说，人是有灵性、有良知的动物，那么，人生一世，无非是认识自己，洗炼自己，自觉自愿地改造自己，除非甘心与禽兽无异。但是这又谈何容易呢？这部小说里，只有一两人自觉自愿地试图超拔自己。读者出于喜爱，往往把他们看作主角。,杨绛（1911-2016），原名杨季康，中国社会科学院外国文学研究员，作家、评论家、翻译家。剧本有《称心如意》．《弄真成假》、《风絮》；小说有《倒影集》、《洗澡》；论集有《春泥集》、《关于小说》；译作有《1939年以来的英国散文选》、《小癞子》、《吉尔.布拉斯》、《堂.吉诃德》 等。
6,创意市集2·玩心大发,https://book.douban.com/subject/2036345/,7.6,3272, ,王怡颖,生活·读书·新知三联书店, , ,2007-5,181,28.00,平装,创意市集,9787108025197,《创意市集2·玩心大发》是伦敦市集13位艺术家、设计师访谈录。 伦敦的市集依然活泼、热火，走在其中依然惊喜无限，创意百出、想法新鲜的艺术家和设计师有增无减。创造了“创意市集”一词的王怡颖在第一本书里曾经带领我们畅游的Spitalfield's Market如今已步入了转型期，而位于老啤酒厂中的UPMarket悄悄兴趣兴起，因为租金低廉，吸引了一批更年轻的创作者进驻，他们毫无忌讳地用作品来表达自己的想法，在现实中坚持真我，寻找能让他们继续尽情把玩创意的平衡点，使UPMarket这个新兴市集在某种程度上少了商业气息，更具有活力和特色。,王怡颖，中央圣马丁艺术学院视觉传播系硕士，noodoll品牌设计师，freelance graphic designer，目前居住于伦敦。
7,150cm Life,https://book.douban.com/subject/1344548/,8.2,8749, ,高木直子,大田, ,洪俞君,2006-3-1,120,新台币200, , ,9789574556861,身高過了15歲就一直停留在150公分的作者，覺得世界上的東西多半都大了點兒，和別人講話總是要抬起脖子、衣服袖子太長、拿高處東西總得踮起腳尖、走路總是不自覺的加快腳步，這些對作者而言都是日常生活中理所當然的事情。雖不喜歡因為個子矮小所帶來的諸多不便，但若是有人因為我個子矮對我特別好的話，我也會因為這樣覺得「其實小個子也蠻好的！」 作者利用圖配文的方式描繪出由150cm的高度所看到的種種，及感受到的心情。希望這本書可以得到現在跟作者同樣身高的你我產生共鳴，個子高的人也可想起曾經逝去的那段150cm時光。,高木直子 1974 年出生於日本三重縣 國中一年級時，為美術課本中班夏恩的畫所感動， 糊裡糊塗地就立志成為一個畫家。 美術設計學校畢業後，進入名古屋的設計公司上班。 98 年到東京。目前定居於東京都。 也運用壓克力顏料來作畫。 興趣是收集湯姆貓與傑利鼠的相關產品，及做木工。 高俞君 定居日本金澤，身高 150 公分 與先生兩個小孩公婆，過著鮮明的四季生活 沒有日文會覺得人生缺少了什麼 著迷麵包和黑豆仙貝以及帆布製袋子 現在最重要的是繼續翻譯完高木直子的下一本書 《第五年一個人住》
8,澜本嫁衣,https://book.douban.com/subject/3290010/,7.0,29306, ,七堇年,长江文艺出版社, , ,2008-12,184,19.80,平装, ,9787535436917,在江南小镇长大的主人公由残疾的母亲收养成人，后与表姐叶知秋共进一所大学。叶知秋年纪轻轻却涉世颇深，经历复杂，使得相形之下的学生妹“我”显得幼稚单薄。两个成长过程中迥然不同的姐妹开始了各自完全不同的人生经历。 在经历了爱与被爱，欺骗与被欺骗等女性角色的无奈和失落，婚姻的错位和失败后，姐妹俩对人间平静的残酷有了各自不同的理解。,七堇年，十月生。自幼学习绘画与钢琴近十年。中学时代接触过吉他，爵士鼓和电影的些许皮毛，后来发现唯一收获是借以走入表达这个世界的途径。 曾经的理想有做漫画家和拍电影，至今仍耿耿于怀。成长中遇到很多的可贵，开始念念不忘要去祭奠那些人和事，于是找到成本最为廉价的表达形式，即写作，去防止自己向时光和记忆倒戈。 曾获新概念一等奖。 创作的作品：《被窝是青春的坟墓》、《北方》、《绚烂的碎片》、《睡在路上》 、《远镇》 、《花朵之蓝》 正以在回忆和幻想之间流盼的浮躁姿态，向死而生。
9,基督山伯爵（上下）,https://book.douban.com/subject/1084973/,8.9,5744,法,大仲马,上海译文出版社, ,周克希 / 韩沪麟,2001-8,1119,38.00,平装,世界文学名著普及本（新版）,9787532726516,《基督山伯爵》是大仲马的代表作。法老号大副唐泰斯受船长委托，为拿破仑党人送了一封信，遭到两个卑鄙小人和法官的陷害，被打入死牢。狱友法里亚神甫向他传授了各种知识，并在临终前把埋于基督山岛上的一批宝藏的秘密告诉了他。唐泰斯越狱后找到了宝藏，成为巨富。从此化名基督山伯爵，经过精心策划，报答了恩人，惩罚了仇人。小说充满浪漫的传奇色彩，情节奇特新颖，引人入胜。,法国19世纪积极浪漫主义作家。其祖父是候爵德·拉·巴那特里，与黑奴结合生下其父，名亚历山大，受洗时用母姓仲马。法国大革命爆发后，亚历山大·仲马屡建奇功，当上共和政府将军。大仲马终生信守共和政见，一贯反对君主专政，憎恨复辟王朝，不满七月王朝，反对第二帝国。他饱尝种族歧视，心中受到创伤。家庭出身和经历使大仲马形成了反对不平、追求正义的叛逆性格。大仲马自学成才，一生写的各种类型作品达300卷之多，主要以小说和剧作著称于世。大仲马的剧本《享利第三及其宫廷》（1829）比雨果的《欧那尼》还早问世一年。这出浪漫主义戏剧，完全破除了古典主义“三一律”。大仲马小说多达百部，大都以真实的历史作背景，以主人公的奇遇为内容，情节曲折生动，处处出人意外，堪称历史惊险小说。异乎寻常的理想英雄，急剧发展的故事情节，紧张的打斗动作，清晰明朗的完整结构，生动有力的语言，灵活机智的对话等构成了大仲马小说的特色。最著名的是《三个火枪手》旧译《三剑客》，（1844）、《基督山伯爵》。大仲马被别林斯基称为“一名天才的小说家”，他也是马克思 “最喜欢”的作家之一。
