,书名,豆瓣链接,评分,评分人数,作者国籍,作者,出版社,原作名,译者,出版日期,页数,价格,装帧,丛书,ISBN,内容简介,作者简介
0,有一天啊，寶寶,https://book.douban.com/subject/1471391/,8.6,4563, ,蔡康永,皇冠文化出版有限公司, , ,2006,224,新台幣220,平裝, ,9789573322122,因為一個我很愛的女生，所以寫下了這本書! “如果有人堅持要為你解說人生， 寶寶，你聽聽就好，不要太當真。 你的人生就是你的，你感覺到風時，風才在吹； 你把宇宙放在你的心裡，宇宙才存在。” “寶寶啊，這本因為你而寫的書，常常出現問號， 原因很簡單：我不確定的事很多， 何況我也不想確定那些事。” “我只是比你早到而已，我也會比你早走。 我趁著比你早到的這些時間， 提醒你一些人生不宜錯過的事，以及另一些， 最好是錯過的事。” “因為和你說話， 我才有機會常常回想我最初的狀態， 你讓我記起了許多我已經忘記很久的事啊， 親愛的寶寶。” －－蔡康永 蔡康永對生活的態度，有時輕鬆有時莊重；蔡康永看見的世界，有時荒謬有時繽紛。透過蔡康永最深情最溫柔的寶寶日記，你將發現，原來人生有這麼多精彩好玩的『問號』！,蔡康永，觉得所有宝宝都和他无关，又觉得所有宝宝都和他有关。 有关小时候的事，可参考《痛快日记》。求学的事，可参考《LA流浪记》。交朋友的事，可参考《那些男孩教我的事》。 蔡康永从20世纪到21世纪，渐渐花越来越多时间在电视节目上，电视上的他到底能有多少灵魂，是他很爱嘀咕的事。 蔡康永，抵达地点是台北，离开地点还不知道。
1,檞寄生,https://book.douban.com/subject/1416954/,8.2,5340, ,蔡智恆,紅色文化, , ,2001-9-20,304,NT 260, , ,9789574696598,,
2,故事新编,https://book.douban.com/subject/1000517/,8.9,7567, ,鲁迅 / 裘沙 王伟君 图,漓江出版社, , ,2000-10,130,20.00,平装,鲁迅作品集,9787540725259,本书收入鲁迅先生1922年至1935年间创作的小说8篇及序言1篇。� 《故事新编》对神话、传说及历史“只取一点因由，随意点染”，“将古代和现代错综交融”、古为今用，针砭流俗，讽刺世事，批判社会。《故事新编》艺术特色鲜明――漫画化的勾勒和速写；夸张手段的巧妙运用；以极省俭的笔墨塑造人物。� 裘沙和王伟君两位艺术家以毕生精力用画笔“揭示鲁迅思想体系”，执著探索，苦心构思，大胆创造，以“理解的准确，表现的深刻，艺术的精湛”再现了鲁迅的世界。�,鲁迅在1922年～1935年间，跨越了一个漫长的时期，从严肃，到油滑，到生死。
3,假如给我三天光明,https://book.douban.com/subject/1040397/,8.1,18393, ,海伦・凯勒(helen keller),华文出版社,three days to see,李汉昭,2003-1,333,21.80,平装, ,9787507512359,20世纪，一个独特的生命个体以其勇敢的方式震撼了世界，她----海伦・凯勒，一个生活在黑暗中却又给人类带来光明的女性，一个度过了生命的88个春秋，却熬过了87年无光、无声、无语的孤绝岁月的弱女子。 然而，正是这么一个幽闭在盲聋哑世界里的人，竟然毕业于哈佛大学德克利夫学院，并用生命的全部力量处处奔走，建起了一家家慈善机构，为残疾人造福，被美国《时代周刊》评选为20世纪美国十大英雄偶像。 创造这一奇迹，全靠一颗不屈不挠的心。海伦接受了生命的挑战，用爱心去拥抱世界，以惊人的毅力面对困境，终于在黑暗中找到了人生的光明面，最后又把慈爱的双手伸向全世界。,
4,魔戒（第二部）,https://book.douban.com/subject/1058759/,8.9,8155,英国,托尔金,译林出版社, ,姚锦镕,2001-11,401,18.8,精装,魔戒（译林精装）,9787806572665,《魔戒王三部曲》是英国牛津大学中世纪英国文学教授J.R.R.托尔金于1954年推出的系列作品。它一经问世就在英美两国乃至全世界掀起了轩然大波，随即成为西方奇幻文学殿堂的经典之作，并影响了好几代的读者。至今《魔戒王三部曲》已被译成25种不同语言，全球销售量达9000万册以上。托尔金教授创造的中古大地魔幻社会，结构精密，住着不同的种族，而哈比族少年佛洛多被卷入一场争夺魔戒的正邪大战，凭着勇气和友人的帮助，终于战胜黑暗力量。 故事由魔戒持有者佛罗多展开，他在不知情的状况下继承了一枚戒指，却发现这枚戒指是魔王迟迟不能统治世界的关键。他也陷入了善恶双方争夺的处境中。几经波折，他才得知必须携带魔戒深入魔王的领土，才能在末日火山摧毁这一切邪恶的根源。 于是，在巫师甘道夫的主导下，由精灵、矮人、哈比人、游侠和人类组成了魔戒远征队，试图护卫佛罗多前往魔王的老巢。 本故事随着讲述而扩展开去，直至演绎成一部“魔戒大战”史。其中还多次涉及到更古远的时代。在一九三七年《霍比特人》一书杀青，尚未付柞之前，我就开始写作续篇，但中途一度搁笔，原因是我想先将上古时代的神话与传说收集完整，并理出头绪来，那几年里这些神话传说已渐具眉目。我本来只是出于自己的爱好而从事这项工作的，不甚指望别人会对此产生兴趣，更何况其灵感基本来自语言学，是为了给小精灵语言提供必要的“历史”背景。 为此我请教了别人，他们的意见使我的不甚指望变成了毫不指望；只是读者们想知道更多的有关霍比特人及其历险的故事，受此鼓励，我又书归正传，提笔续写。但一落笔就不由自主地将故事带到更古老的世界，尚未提及它的起源与发展，就讲述其结局与消亡了。这一过程在写作《霍比特人》时就已见端倪。在那本书里，已有几处提到更古老的事物，如埃尔隆德、冈多林、高种小精灵、妖魔，还略微提到了一些半路冒出来的人与物，他们比表面看上去更鲜明，或更幽深，或更隐秘，比如杜丁、莫利亚、刚多尔夫、索隆、魔戒。发现这些人和物的内在意义及其与古代历史的关系，便揭示了第三纪及其高潮——“魔戒大战”。 三大戒指归属天下小精灵诸君， 七大戒指归属石厅小矮人列王， 九枚戒指属于阳寿可数的几人， 还有一枚属于高居御座的黑魁首。 莫都大地黑影幢幢。 一枚戒指统领众戒，尽归罗网， 一枚戒指禁锢众戒，昏暗无光。 莫都大地黑影幢幢。,"约翰·罗纳德·鲁埃尔·托尔金（J.R.R.Tolkien, 1892-1973）是英国牛津大学教授，古英语专家，但他又写了不少小说，其中最著名的作品是《霍比特人》（又译作《小矮人历险记》）和《魔戒》。"
5,楼下的房客,https://book.douban.com/subject/1485495/,8.0,14329, ,九把刀,花山文艺出版社, , ,2006-1,291,19.80,平装, ,9787806736821,小说是一部悬疑而又诡异的出租屋的故事。详细描述了每个人的外型、特征、癖好，运用一个思想怪异的房东把他们串联成一个个恐怖的故事。 一个继承出租公寓的无业游民，在东海大学附近贴起招租布告，他不要家世清白的乖乖牌学生、不要收支稳定的上班族、不要勤俭质朴的小家庭，他只要“正常人”，像任何符合正常定义，有混乱潜质的正常人，能满足他偷窥正常面具下的黑暗面的正常人。因此，有家暴前科的体育老师老张、黏在网上的大学生伯彦、失婚的王先生和纯洁像天使的王小妹、神秘作家颖如、同性人令狐和郭力、上班尤物陈小姐一起搬到了出租公寓。八个房客还有一个变态房东，六个房间外加一堆秘密。人性潜在的可能性，使我们无法预测每个房间到底还有多少隐私。,九把刀，本名柯景腾，东海大学研究生，网坛文学高手。99 年以中篇小说《恐惧炸弹》在网络上一炮而红。部分作品在台湾新生报等媒体连载，读者反应热烈，目前网络文学最大站猫园中长篇小说版最具人气的作家！被誉为“网络文学经典制造机”。九把刀在写作上自创一种黑色神经喜剧的风格，用词辛辣，奇想联翩，好笑且诱人深省，别有一番神奇寓意。
6,绾青丝Ⅰ,https://book.douban.com/subject/2009825/,7.4,25307, ,波波,花山文艺出版社, , ,2007-2,272,22.00,平装16开,绾青丝,9787806739679,叶海花，长得不够美，身材不够瘦，在感情上受过大大小小很多伤害。 于是希望园转世做一只米虫，能够找到真正疼惜自己的人。在小冥王的帮助下，叶海花摇身变成大奸臣的女儿蔚蓝雪。 熟料，刚一睁眼的蓝雪就发现自己正在被一个绝色美男的强暴，而自己的父亲被人斩断手脚装在一个坛子里正在观摩这场好戏…… 原来，绝色美男与自己有不共戴天的灭门之仇，自己落在这样的人手上，岂不是死路一条……,波波，本名黎珂，女，1976年清明生于重庆垫江，目前在交通行业工作。 2001年开始在网上写文，2002年出版小说《花神的女儿》，2003年被聘为重庆文学院首届创作员，2004年中篇童话《睡美人》收入《2003年中国奇幻文学精品》丛书。另著有长篇小说《珠子》、《追》等。
7,檀香刑,https://book.douban.com/subject/1043485/,8.3,22546, ,莫言,作家出版社, , ,2001-3,518,27.00,平装,重温经典,9787506320511,《檀香刑》是莫言潜心五年完成的一部长篇新作。在这部神品妙构的小说中，莫言以1900年德国人在山东修建胶济铁路、袁世凯镇压山东义和团运动、八国联军攻陷北京、慈禧仓皇出逃为历史背景，用摇曳多姿的笔触，大悲大喜的激情，高瞻深睿的思想，活灵活现地讲述了发生在“高密东北乡”的一场可歌可泣的农民运动，一桩骇人听闻的酷刑，一段惊心动魄的爱情。 “檀香刑”是一种类似西方“桩刑”的酷刑，农民领袖不幸遭此大难。小说情节以女主人公眉娘与她的亲爹、干爹、公爹之间的恩恩怨怨，生生死死展开…… 这部小说是对魔幻现实主义和西方现代派小说的反动，更是对坊间流行的历史小说的快意叫板，全书具有民间文学那种雅俗共赏，人相传诵的生动性。作者用公然炫技的“凤头——猪肚——豹尾”的结构模式，将一个千头万绪的故事讲述得时而让人毛骨悚然，时而又让人柔情万种。,莫言，1955年生于山东高密东北乡。小学五年级辍学回乡务农。1976年应征入伍，历任战士、教员等职。先后毕业于解放军艺术学院文学系和北京师范大学创作研究生班。1980年开始创作，著有《红高梁家族》、《丰乳肥臀》、《酒国》等八部长篇小说，中短篇小说《欢乐》、《透明的红萝卜》、《白狗秋千架》、《拇指铐》等多篇。
8,温柔的叹息,https://book.douban.com/subject/4173403/,7.7,16920,日,青山七惠,上海译文出版社,やさしいため息,"[中国]
            竺家荣",2010-1,166,20.00,精装,青山七惠作品,9787532749447,《温柔的叹息》是青山七惠芥川奖获奖作品《一个人的好天气》的延伸，像极了一名女子成长历程的追踪报道。 小说从主人公“圆”突遇4年来音信全无的弟弟开始。弟弟自说自话搬进姐姐租的房子，从此开始每天记“姐姐观察日记”。姐姐读后才意识到自己的每一天过得是何等的枯燥乏味，纯粹是“复制加粘贴”。于是她决定试着改变现状，同弟弟的一个朋友相恋，接受同事参加忘年会的邀请，慢慢走出社交恐惧症的困扰。遗憾的是，她的男朋友却在这时突然中止两人的关系，这使她再度面临是否还要打开心扉的抉择。,青山七惠（1983- ），日本新锐小说家，生于埼玉县熊谷市，筑波大学毕业。2005年，凭借小说处女作《窗灯》获第42届日本文艺奖，在文学界崭露头角。2007年，以《一个人的好天气》荣膺第136届芥川龙之介奖。
9,原谅我红尘颠倒,https://book.douban.com/subject/3274851/,8.0,10290, ,慕容雪村,珠海出版社, , ,2008-10,262,25.00,平装,慕容雪村文集,9787545300932,一位来自穷困乡村、穷困家庭的小男孩，经过自己的勤奋努力，终于完成了父亲的遗愿考上了大学法律专业，毕业之后又在一个经济十分发达的开放城市当上了颇有名气的律师，并且经常在当地的电视节目频频上镜，是著名法律栏目的主讲嘉宾，要么讲授法律知识，要么解答观众提出的的种种法律疑难，成为该城市的公众人物……然而，就是这样一位事业蒸蒸日上、金钱名利俱全的律师，最后却走上了厌世悲观以致杀人灭尸的犯罪之路…… 这是慕容雪村的长篇小说《原谅我红尘颠倒》所叙说的一场“红尘大梦”，是一个令人颤栗的故事，一个发人深省的故事……罪恶、阴谋、堕落、势利、虚伪、凶残、歹毒、肮脏、矜持、善良、固执……各色人物性格形象万千，栩栩如生；律师、法官、干警、老板、艺人、电视节目主持人、原告、被告、监狱看守甚至寺庙僧人等等，都在这个错综复杂的故事里活灵活现。他们形象生动，性格迥异。尤其是那些蝇营狗苟之徒，其德行与嘴脸描绘得是那么地令人憎恶，司法界某些行尸走肉的人性堕落与道德腐化是那样地令人震颤。,慕容雪村，男，1974年生。大学所学为法律，毕业后曾在一家公司从事内部管理工作，现为自由职业者。一直热爱文学，从2000年起开始在网络上发表作品，2002年以小说《成都，今夜请将我遗忘》一炮而红。2003年慕容雪村创作了《成都，今夜请将我遗忘》的姊妹篇《天堂向左，深圳往右》，进一步奠定了他在网络文学创作领域的地位，并被评选为2003年中国新锐榜年度网络风云人物。慕容雪村所创作的其他较有影响的作品还有小说《西门庆传奇》、《唐僧情史》以及随笔《做爱的经济学分析》、《遗忘在光阴之外》等。
